Date,symbol,Low,High,Close,Open,Volume
1999-10-04,VMC,35.25,36.1875,36.0,35.2499,209800.0
1999-10-05,VMC,35.3125,36.5,35.875,36.0625,236300.0
1999-10-06,VMC,35.875,38.3125,37.375,36.0,548500.0
1999-10-07,VMC,37.25,38.1875,37.9375,37.25,251900.0
1999-10-08,VMC,37.75,38.3125,38.1875,37.8125,181300.0
1999-10-11,VMC,37.8125,38.6875,38.3125,38.3125,93300.0
1999-10-12,VMC,36.9375,38.1875,37.0625,38.1875,296300.0
1999-10-13,VMC,35.875,37.1875,36.0,36.875,170200.0
1999-10-14,VMC,35.875,36.5625,36.1875,36.0,161200.0
1999-10-15,VMC,35.375,36.375,35.6875,36.375,187900.0
1999-10-18,VMC,35.5625,37.5625,35.9375,35.5625,437900.0
1999-10-19,VMC,36.125,37.0,36.75,36.125,519500.0
1999-10-20,VMC,36.3119,36.875,36.875,36.75,311700.0
1999-10-21,VMC,36.25,36.8125,36.5,36.75,232700.0
1999-10-22,VMC,36.5625,38.0,37.875,36.5625,372700.0
1999-10-25,VMC,37.0625,38.375,38.3125,38.0,244800.0
1999-10-26,VMC,37.6875,39.0022,37.8125,38.125,390600.0
1999-10-27,VMC,37.875,40.125,39.8125,37.9375,313400.0
1999-10-28,VMC,40.0,41.4375,41.125,40.0,310521.0
1999-10-29,VMC,40.8125,41.5,41.3125,41.125,260500.0
1999-11-01,VMC,41.0625,41.625,41.5625,41.125,281100.0
1999-11-02,VMC,41.375,41.8125,41.5,41.5625,302900.0
1999-11-03,VMC,40.875,41.75,41.5625,41.5625,215500.0
1999-11-04,VMC,41.5,42.3125,42.0625,41.9375,202200.0
1999-11-05,VMC,41.9375,42.75,42.0,42.5,142800.0
1999-11-08,VMC,41.5,42.4375,42.1875,42.0,106200.0
1999-11-09,VMC,41.375,42.375,41.6875,42.125,70900.0
1999-11-10,VMC,40.375,41.75,41.25,41.4375,169900.0
1999-11-11,VMC,40.75,41.25,40.9375,41.25,89900.0
1999-11-12,VMC,40.5625,41.4375,41.4375,41.0625,140000.0
1999-11-15,VMC,41.125,41.9375,41.8125,41.1875,156600.0
1999-11-16,VMC,42.0625,42.9375,42.75,42.0625,252989.0
1999-11-17,VMC,42.375,42.9375,42.4375,42.875,83300.0
1999-11-18,VMC,42.3125,44.125,43.625,42.4375,206500.0
1999-11-19,VMC,43.3125,43.8125,43.3125,43.6223,162700.0
1999-11-22,VMC,42.0625,43.3125,42.375,43.3125,112297.0
1999-11-23,VMC,40.4375,42.4375,40.6211,42.4375,180700.0
1999-11-24,VMC,39.1875,40.25,39.5,40.1217,355500.0
1999-11-26,VMC,39.25,39.625,39.625,39.625,117200.0
1999-11-29,VMC,38.8125,39.5625,39.4375,39.375,155900.0
1999-11-30,VMC,39.4375,40.8125,40.25,39.4375,147200.0
1999-12-01,VMC,39.125,40.4375,39.3125,40.0,255900.0
1999-12-02,VMC,39.4375,40.4375,40.0,39.5,143800.0
1999-12-03,VMC,40.2496,40.9375,40.75,40.25,114700.0
1999-12-06,VMC,39.75,41.0,39.9375,41.0018,119100.0
1999-12-07,VMC,39.0938,39.9375,39.1875,39.125,95100.0
1999-12-08,VMC,38.625,39.4375,38.8125,39.4375,86000.0
1999-12-09,VMC,37.8125,38.6875,38.5625,38.5625,132300.0
1999-12-10,VMC,37.8125,38.8125,38.375,38.8125,92300.0
1999-12-13,VMC,37.875,38.75,38.0,38.4375,172300.0
1999-12-14,VMC,38.125,39.4375,39.3125,38.25,136700.0
1999-12-15,VMC,38.5625,39.0625,38.5625,39.0635,151700.0
