Date,symbol,Low,High,Close,Open,Volume
1999-09-28,VNO,32.5,32.625,32.625,32.625,39900.0
1999-09-29,VNO,32.375,32.625,32.438,32.625,72300.0
1999-09-30,VNO,32.438,32.625,32.5,32.438,161500.0
1999-10-01,VNO,32.375,32.75,32.75,32.5,96800.0
1999-10-04,VNO,32.438,33.75,33.063,32.625,108600.0
1999-10-05,VNO,33.0,33.375,33.25,33.25,625300.0
1999-10-06,VNO,33.0,33.3134,33.063,33.313,41100.0
1999-10-07,VNO,32.938,33.25,32.938,33.0,115200.0
1999-10-08,VNO,32.875,33.063,32.875,32.938,439800.0
1999-10-11,VNO,32.313,32.938,32.5,32.938,94100.0
1999-10-12,VNO,31.938000000000002,32.438,32.0,32.438,186700.0
1999-10-13,VNO,30.75,32.125,31.125,32.125,1501700.0
1999-10-14,VNO,30.6269,31.5,31.313000000000002,31.063000000000002,133900.0
1999-10-15,VNO,30.4963,31.313000000000002,30.875,31.313000000000002,260000.0
1999-10-18,VNO,30.5,31.0,30.688000000000002,31.0,275600.0
1999-10-19,VNO,30.375,30.875,30.563000000000002,30.625,108200.0
1999-10-20,VNO,30.25,31.0,30.375,30.813000000000002,147900.0
1999-10-21,VNO,30.188000000000002,30.5,30.25,30.313000000000002,104200.0
1999-10-22,VNO,30.25,30.875,30.563000000000002,30.313000000000002,180800.0
1999-10-25,VNO,30.375,31.0,30.5,30.75,120600.0
1999-10-26,VNO,30.313000000000002,31.188000000000002,30.375,30.75,133700.0
1999-10-27,VNO,29.938000000000002,30.375,30.063000000000002,30.313000000000002,225100.0
1999-10-28,VNO,30.375,31.063000000000002,30.625,30.375,116500.0
1999-10-29,VNO,30.813000000000002,32.313,31.688000000000002,30.813000000000002,248800.0
1999-11-01,VNO,31.5647,32.0,32.0,31.75,171200.0
1999-11-02,VNO,32.0,33.0,32.875,32.0,242900.0
1999-11-03,VNO,32.6889,33.125,32.688,33.125,116700.0
1999-11-04,VNO,32.3765,32.625,32.563,32.375,369800.0
1999-11-05,VNO,32.7499,33.25,33.063,33.125,309100.0
1999-11-08,VNO,32.438,33.125,32.75,33.125,85100.0
1999-11-09,VNO,32.0,32.75,32.688,32.688,139100.0
1999-11-10,VNO,32.375,32.875,32.688,32.75,47500.0
1999-11-11,VNO,32.375,32.813,32.563,32.6873,45300.0
1999-11-12,VNO,32.188,32.75,32.5,32.625,144900.0
1999-11-15,VNO,31.9402,32.625,32.375,32.625,64600.0
1999-11-16,VNO,32.125,32.6267,32.25,32.625,93700.0
1999-11-17,VNO,32.25,32.5,32.438,32.438,71000.0
1999-11-18,VNO,32.313,32.5,32.375,32.313,80800.0
1999-11-19,VNO,31.875,32.375,32.188,32.375,234000.0
1999-11-22,VNO,32.0635,32.75,32.375,32.438,133300.0
1999-11-23,VNO,31.75,32.188,31.813000000000002,32.125,129200.0
1999-11-24,VNO,31.5028,32.188,32.0,31.938000000000002,122900.0
1999-11-26,VNO,31.5002,31.875,31.75,31.75,13900.0
1999-11-29,VNO,31.188000000000002,32.0,31.438000000000002,32.0,179400.0
1999-11-30,VNO,31.375,31.625,31.563000000000002,31.563000000000002,266900.0
1999-12-01,VNO,31.0656,31.625,31.625,31.375,185100.0
1999-12-02,VNO,31.375,31.625,31.5,31.563000000000002,275400.0
1999-12-03,VNO,31.125,31.8754,31.625,31.313000000000002,192800.0
1999-12-06,VNO,31.875,32.25,32.25,31.875,286200.0
1999-12-07,VNO,32.188,32.375,32.313,32.188,251100.0
1999-12-08,VNO,32.0,32.313,32.063,32.313,172900.0
1999-12-09,VNO,31.438000000000002,32.063,31.75,32.063,166000.0
1999-12-10,VNO,31.313000000000002,32.063,31.688000000000002,31.813000000000002,65900.0
1999-12-13,VNO,30.75,31.75,31.0,31.75,136400.0
1999-12-14,VNO,30.75,31.25,30.875,30.75,369400.0
1999-12-15,VNO,30.5,30.938000000000002,30.563000000000002,30.938000000000002,162200.0
1999-12-16,VNO,29.688000000000002,30.563000000000002,30.375,30.563000000000002,1534900.0
1999-12-17,VNO,30.0,33.25,32.688,30.188000000000002,1442400.0
1999-12-20,VNO,31.625,33.75,31.938000000000002,32.438,1018000.0
1999-12-21,VNO,32.25,33.063,32.938,32.625,256300.0
1999-12-22,VNO,32.313,33.0,32.438,33.0,139900.0
1999-12-23,VNO,32.0,32.688,32.625,32.0,189100.0
1999-12-27,VNO,32.063,33.563,32.5,33.563,206000.0
1999-12-28,VNO,32.5,33.563,32.75,32.625,313500.0
1999-12-29,VNO,32.625,33.5,33.313,32.75,86900.0
1999-12-30,VNO,33.063,33.938,33.25,33.063,259700.0
1999-12-31,VNO,32.5,33.75,32.5,33.25,87800.0
2000-01-03,VNO,32.4986,33.5,33.375,32.625,289200.0
2000-01-04,VNO,33.0,33.5,33.375,33.125,294500.0
2000-01-05,VNO,32.938,34.25,34.25,33.063,191200.0
2000-01-06,VNO,33.938,34.75,34.688,34.1248,185500.0
2000-01-07,VNO,34.5,35.125,34.938,34.5,1521100.0
2000-01-10,VNO,34.75,36.0,35.25,34.938,354600.0
2000-01-11,VNO,34.75,35.375,34.875,35.375,259800.0
2000-01-12,VNO,34.438,34.75,34.5,34.625,92000.0
2000-01-13,VNO,34.313,34.563,34.438,34.5,88900.0
2000-01-14,VNO,33.875,34.438,33.875,34.438,170800.0
2000-01-18,VNO,33.75,34.625,34.313,33.75,128700.0
2000-01-19,VNO,34.0,34.375,34.125,34.313,179700.0
2000-01-20,VNO,33.75,34.125,33.813,34.0,81600.0
2000-01-21,VNO,33.563,33.938,33.563,33.875,205200.0
2000-01-24,VNO,32.188,33.5,32.438,33.3142,482800.0
2000-01-25,VNO,31.875,32.438,32.0,32.438,648900.0
2000-01-26,VNO,31.375,32.125,32.063,32.0,174700.0
2000-01-27,VNO,31.6246,32.125,31.938000000000002,31.813000000000002,161300.0
2000-01-28,VNO,31.688000000000002,31.938000000000002,31.938000000000002,31.938000000000002,114700.0
2000-01-31,VNO,31.313000000000002,32.0,31.313000000000002,31.938000000000002,305600.0
2000-02-01,VNO,31.375,31.938000000000002,31.75,31.563000000000002,724500.0
2000-02-02,VNO,31.375,31.813000000000002,31.75,31.7501,490000.0
2000-02-03,VNO,31.063000000000002,31.25,31.25,31.25,233900.0
2000-02-04,VNO,30.5,31.313000000000002,30.625,31.25,2278900.0
2000-02-07,VNO,30.5,31.0,31.0,30.5,205300.0
2000-02-08,VNO,30.75,31.0,30.938000000000002,31.0,248500.0
2000-02-09,VNO,30.75,31.0,30.938000000000002,30.938000000000002,342600.0
2000-02-10,VNO,30.688000000000002,31.0,30.75,31.0,229500.0
2000-02-11,VNO,30.688000000000002,31.0,30.75,30.75,139700.0
2000-02-14,VNO,30.5,30.75,30.563000000000002,30.75,385900.0
2000-02-15,VNO,30.5,31.125,31.0,30.688000000000002,231000.0
2000-02-16,VNO,30.563000000000002,30.875,30.625,30.813000000000002,182000.0
2000-02-17,VNO,30.563000000000002,30.875,30.875,30.688000000000002,102500.0
2000-02-18,VNO,30.5,31.0,30.625,30.875,159600.0
2000-02-22,VNO,30.375,30.813000000000002,30.688000000000002,30.375,316400.0
2000-02-23,VNO,30.125,30.8737,30.5,30.75,333300.0
2000-02-24,VNO,30.25,30.75,30.375,30.75,155700.0
2000-02-25,VNO,30.125,30.3739,30.125,30.25,79000.0
2000-02-28,VNO,30.0,30.375,30.313000000000002,30.125,179200.0
2000-02-29,VNO,30.25,30.6243,30.594,30.438000000000002,144300.0
2000-03-01,VNO,30.313000000000002,30.938000000000002,30.813000000000002,30.375,138700.0
2000-03-02,VNO,30.5,31.063000000000002,30.875,30.688000000000002,109800.0
2000-03-03,VNO,30.625,30.875,30.688000000000002,30.688000000000002,194700.0
2000-03-06,VNO,30.688000000000002,31.25,30.938000000000002,30.813000000000002,129200.0
2000-03-07,VNO,30.813000000000002,31.188000000000002,31.0,30.938000000000002,378100.0
2000-03-08,VNO,30.563000000000002,31.0,30.813000000000002,30.875,120200.0
2000-03-09,VNO,30.438000000000002,30.813000000000002,30.5,30.813000000000002,168900.0
2000-03-10,VNO,30.438000000000002,30.563000000000002,30.5,30.499000000000002,202400.0
2000-03-13,VNO,29.875,30.688000000000002,29.875,30.6876,119600.0
2000-03-14,VNO,29.9371,30.5,30.375,30.0,230900.0
2000-03-15,VNO,30.375,30.75,30.75,30.438000000000002,526800.0
2000-03-16,VNO,30.625,32.0,31.813000000000002,30.625,346300.0
2000-03-17,VNO,31.0,32.125,31.813000000000002,31.938000000000002,824700.0
2000-03-20,VNO,31.3746,32.5,32.0,32.188,890800.0
2000-03-21,VNO,31.688000000000002,32.375,32.375,31.938000000000002,104600.0
2000-03-22,VNO,32.25,32.688,32.688,32.625,122000.0
2000-03-23,VNO,32.625,33.688,33.25,32.688,449500.0
2000-03-24,VNO,32.25,33.25,32.375,33.25,128700.0
2000-03-27,VNO,32.563,33.375,32.938,32.625,809600.0
2000-03-28,VNO,32.5,33.25,33.0,32.938,128700.0
2000-03-29,VNO,32.688,33.25,33.125,33.125,48400.0
2000-03-30,VNO,33.125,33.625,33.563,33.375,208900.0
2000-03-31,VNO,33.5,34.0,33.5,33.625,299200.0
2000-04-03,VNO,33.5,33.8744,33.688,33.5,80700.0
2000-04-04,VNO,33.25,33.875,33.75,33.625,117200.0
2000-04-05,VNO,32.625,34.375,34.125,33.5,174000.0
2000-04-06,VNO,33.75,34.5,34.063,34.25,150200.0
2000-04-07,VNO,33.813,34.625,34.375,34.188,163100.0
2000-04-10,VNO,34.375,35.0,34.5,34.375,63500.0
2000-04-11,VNO,34.5,35.625,35.25,34.5,300200.0
2000-04-12,VNO,35.0002,35.688,35.625,35.0,640800.0
2000-04-13,VNO,33.813,35.375,34.625,35.375,552100.0
2000-04-14,VNO,33.5,34.688,34.688,34.375,608100.0
2000-04-17,VNO,33.748000000000005,34.688,34.5,34.688,158200.0
2000-04-18,VNO,34.188,34.5,34.5,34.5,138600.0
2000-04-19,VNO,34.4397,34.625,34.5,34.563,177200.0
2000-04-20,VNO,34.5,34.688,34.563,34.625,121300.0
2000-04-24,VNO,34.688,35.125,34.875,34.688,141600.0
2000-04-25,VNO,34.125,34.875,34.563,34.875,271100.0
2000-04-26,VNO,34.563,35.313,35.0,34.688,466700.0
2000-04-27,VNO,34.5,34.875,34.813,34.875,193400.0
2000-04-28,VNO,34.5,34.875,34.5,34.7502,372000.0
2000-05-01,VNO,34.563,35.5,35.438,34.625,301200.0
2000-05-02,VNO,35.438,36.875,36.5,35.688,548900.0
2000-05-03,VNO,35.9342,36.5,36.375,36.313,552800.0
2000-05-04,VNO,35.625,36.0,36.0,35.688,165000.0
2000-05-05,VNO,35.688,36.188,35.688,36.0,275300.0
2000-05-08,VNO,35.688,36.125,35.813,35.875,112800.0
2000-05-09,VNO,35.625,35.938,35.875,35.75,109700.0
2000-05-10,VNO,35.5,35.938,35.875,35.625,170700.0
2000-05-11,VNO,35.875,36.125,35.938,35.875,371100.0
2000-05-12,VNO,35.625,35.938,35.938,35.8142,79600.0
2000-05-15,VNO,35.5,35.938,35.875,35.938,120400.0
2000-05-16,VNO,35.75,36.0012,35.938,35.875,135800.0
2000-05-17,VNO,35.688,36.125,35.813,35.938,315900.0
2000-05-18,VNO,35.25,36.125,35.688,35.938,252700.0
2000-05-19,VNO,35.438,35.813,35.563,35.438,76300.0
2000-05-22,VNO,35.438,35.688,35.438,35.5,253200.0
2000-05-23,VNO,35.0,35.5,35.0,35.5,916200.0
2000-05-24,VNO,34.75,35.0,34.813,35.0,477200.0
2000-05-25,VNO,34.75,35.125,34.875,34.938,620600.0
2000-05-26,VNO,34.938,35.25,35.25,35.125,502200.0
2000-05-30,VNO,34.75,35.25,35.0,35.188,128100.0
2000-05-31,VNO,34.75,35.063,34.938,34.813,127900.0
2000-06-01,VNO,34.75,35.0,35.0,35.0,58200.0
2000-06-02,VNO,35.0,35.5008,35.063,35.0,95400.0
2000-06-05,VNO,35.063,35.313,35.188,35.063,53400.0
2000-06-06,VNO,35.125,35.5005,35.375,35.188,143200.0
2000-06-07,VNO,35.25,35.563,35.438,35.25,107400.0
2000-06-08,VNO,35.375,35.625,35.438,35.438,112600.0
2000-06-09,VNO,35.313,35.8747,35.875,35.5,104400.0
2000-06-12,VNO,35.75,35.938,35.813,35.813,145300.0
2000-06-13,VNO,35.813,36.0,35.875,36.0,151200.0
2000-06-14,VNO,35.438,36.5,36.438,35.938,814800.0
2000-06-15,VNO,36.25,36.438,36.375,36.313,138000.0
2000-06-16,VNO,36.188,36.498000000000005,36.313,36.375,898000.0
