Date,symbol,Low,High,Close,Open,Volume
2009-10-07,VRSK,26.41,28.97,27.22,27.0,63739500.0
2009-10-08,VRSK,26.5,27.44,26.6,27.33,6906700.0
2009-10-09,VRSK,26.3813,27.49,26.4,26.83,3361300.0
2009-10-12,VRSK,26.1,27.9,26.25,27.29,7177000.0
2009-10-13,VRSK,26.5411,27.26,27.19,26.67,3296000.0
2009-10-14,VRSK,27.0,28.238000000000003,27.99,27.25,3222400.0
2009-10-15,VRSK,27.75,28.8,28.31,28.28,3181300.0
2009-10-16,VRSK,27.55,28.6,28.568,28.4485,3974100.0
2009-10-19,VRSK,27.5,28.89,27.5,28.52,1892100.0
2009-10-20,VRSK,27.35,28.1,28.06,27.5,3387000.0
2009-10-21,VRSK,27.86,28.3491,28.0,28.0,1079000.0
2009-10-22,VRSK,27.32,28.48,27.89,27.76,1172500.0
2009-10-23,VRSK,27.51,28.39,28.37,28.0,2385700.0
2009-10-26,VRSK,27.7586,28.6,28.45,27.83,834400.0
2009-10-27,VRSK,27.93,29.25,28.56,28.54,1578700.0
2009-10-28,VRSK,27.56,28.55,27.69,28.21,1153500.0
2009-10-29,VRSK,27.75,28.0,27.89,27.88,563500.0
2009-10-30,VRSK,27.3,28.07,27.43,28.0,819600.0
2009-11-02,VRSK,26.6,27.65,27.37,27.38,978000.0
2009-11-03,VRSK,26.85,27.49,27.36,27.43,696500.0
2009-11-04,VRSK,26.95,27.48,26.96,27.33,461200.0
2009-11-05,VRSK,26.9713,27.6,27.3,27.02,470400.0
2009-11-06,VRSK,26.95,27.34,27.1,27.15,310800.0
2009-11-09,VRSK,27.05,27.69,27.58,27.25,615600.0
2009-11-10,VRSK,27.25,28.26,27.67,27.25,287300.0
2009-11-11,VRSK,27.63,29.12,28.98,27.93,1174600.0
2009-11-12,VRSK,28.43,30.0,28.9,28.78,1211600.0
2009-11-13,VRSK,28.51,29.08,28.9,28.78,414900.0
2009-11-16,VRSK,28.2526,29.01,28.85,28.75,1424300.0
2009-11-17,VRSK,27.4,28.96,27.85,28.55,2496000.0
2009-11-18,VRSK,28.1609,29.0,28.5,28.39,730900.0
2009-11-19,VRSK,27.94,28.89,28.54,28.81,1223600.0
2009-11-20,VRSK,28.42,28.64,28.55,28.5,875700.0
2009-11-23,VRSK,27.67,28.68,28.4,28.68,447600.0
2009-11-24,VRSK,27.65,28.18,27.78,28.18,685400.0
2009-11-25,VRSK,27.17,27.811,27.3,27.72,892800.0
2009-11-27,VRSK,26.66,27.18,26.99,26.96,264600.0
2009-11-30,VRSK,26.73,27.4,26.91,27.34,888700.0
2009-12-01,VRSK,26.91,28.05,27.78,26.91,617200.0
2009-12-02,VRSK,27.35,27.81,27.51,27.76,820900.0
2009-12-03,VRSK,27.5,27.94,27.72,27.81,491800.0
2009-12-04,VRSK,27.85,28.44,28.43,27.85,535500.0
2009-12-07,VRSK,27.94,28.9801,28.74,28.2,361500.0
2009-12-08,VRSK,27.9,28.92,28.61,28.41,398200.0
2009-12-09,VRSK,28.18,28.7,28.65,28.3316,449600.0
2009-12-10,VRSK,28.13,28.7,28.4,28.57,435200.0
2009-12-11,VRSK,28.0,28.81,28.66,28.02,590700.0
2009-12-14,VRSK,28.5586,29.04,28.99,28.56,502300.0
2009-12-15,VRSK,28.77,29.47,29.3,28.9305,891900.0
2009-12-16,VRSK,29.15,30.97,30.39,29.27,1572400.0
2009-12-17,VRSK,30.0,30.64,30.4,30.25,929200.0
2009-12-18,VRSK,29.73,31.0,30.56,30.3778,8298500.0
2009-12-21,VRSK,29.89,30.78,30.5,30.78,885900.0
2009-12-22,VRSK,30.1,30.85,30.58,30.34,420900.0
2009-12-23,VRSK,30.21,30.94,30.68,30.68,845700.0
2009-12-24,VRSK,30.68,31.18,30.8,30.79,170800.0
2009-12-28,VRSK,30.62,31.12,30.96,30.89,250100.0
2009-12-29,VRSK,30.701,31.14,31.0,30.92,283400.0
2009-12-30,VRSK,30.45,31.0,31.0,30.91,175200.0
2009-12-31,VRSK,30.21,31.0,30.28,30.86,154600.0
2010-01-04,VRSK,29.67,30.5,29.85,30.41,390000.0
2010-01-05,VRSK,29.49,30.07,30.05,29.85,430000.0
2010-01-06,VRSK,30.0,30.87,30.44,30.0,848900.0
2010-01-07,VRSK,29.8,30.68,30.39,30.36,426600.0
2010-01-08,VRSK,29.98,30.27,30.0,30.21,253200.0
2010-01-11,VRSK,29.75,30.105,29.93,30.03,676500.0
2010-01-12,VRSK,29.84,30.38,30.16,29.99,742000.0
2010-01-13,VRSK,30.1,30.29,30.15,30.1,394400.0
2010-01-14,VRSK,29.89,30.1,29.91,30.09,301100.0
2010-01-15,VRSK,28.66,29.92,28.95,29.7675,766000.0
2010-01-19,VRSK,27.81,28.84,27.95,28.8395,1531700.0
