Date,symbol,Low,High,Close,Open,Volume
1999-09-28,VTR,4.813,4.9381,4.875,4.938,159200.0
1999-09-29,VTR,4.813,4.938,4.938,4.813,119600.0
1999-09-30,VTR,4.75,4.9381,4.75,4.875,206500.0
1999-10-01,VTR,4.75,4.875,4.813,4.75,46000.0
1999-10-04,VTR,4.8131,4.938,4.813,4.875,50200.0
1999-10-05,VTR,4.813,5.063,4.938,4.813,96400.0
1999-10-06,VTR,4.938,5.0,5.0,5.0,481500.0
1999-10-07,VTR,4.938,5.188,5.0,5.0,213900.0
1999-10-08,VTR,4.938,5.063,5.0,5.0,51000.0
1999-10-11,VTR,4.938,5.0,5.0,5.0,15300.0
1999-10-12,VTR,5.0,5.0,5.0,5.0,42600.0
1999-10-13,VTR,4.938,5.0002,4.938,5.0,10700.0
1999-10-14,VTR,4.938,5.0,4.938,4.938,49700.0
1999-10-15,VTR,4.75,4.938,4.875,4.938,25000.0
1999-10-18,VTR,4.625,4.813,4.75,4.813,29400.0
1999-10-19,VTR,4.6251,4.75,4.625,4.688,16000.0
1999-10-20,VTR,4.688,4.75,4.688,4.75,75700.0
1999-10-21,VTR,4.563,4.688,4.625,4.688,48400.0
1999-10-22,VTR,4.563,4.625,4.625,4.563,61400.0
1999-10-25,VTR,4.563,4.625,4.625,4.563,31200.0
1999-10-26,VTR,4.563,4.625,4.563,4.563,71500.0
1999-10-27,VTR,4.375,4.563,4.5,4.563,313900.0
1999-10-28,VTR,4.438,4.625,4.625,4.438,32400.0
1999-10-29,VTR,4.5,4.875,4.875,4.563,73100.0
1999-11-01,VTR,4.938,5.375,5.188,5.0001,262400.0
1999-11-02,VTR,5.0,5.188,5.125,5.125,56300.0
1999-11-03,VTR,5.0,5.125,5.125,5.0631,53900.0
1999-11-04,VTR,5.063,5.125,5.063,5.063,47300.0
1999-11-05,VTR,5.063,5.125,5.063,5.063,36400.0
1999-11-08,VTR,5.063,5.125,5.125,5.063,69900.0
1999-11-09,VTR,5.0,5.125,5.063,5.063,134800.0
1999-11-10,VTR,5.0,5.063,5.063,5.0,84700.0
1999-11-11,VTR,4.875,5.063,4.875,4.938,43900.0
1999-11-12,VTR,4.7502,4.875,4.813,4.875,25000.0
1999-11-15,VTR,4.875,5.0,4.938,4.8752,38000.0
1999-11-16,VTR,4.625,4.938,4.625,4.875,130700.0
1999-11-17,VTR,4.5,4.688,4.5,4.688,46800.0
1999-11-18,VTR,4.375,4.563,4.5,4.375,36900.0
1999-11-19,VTR,4.25,4.5,4.313,4.4381,110300.0
1999-11-22,VTR,4.125,4.313,4.188,4.313,35600.0
1999-11-23,VTR,3.938,4.125,4.125,3.938,40200.0
1999-11-24,VTR,4.0,4.25,4.125,4.0,51900.0
1999-11-26,VTR,4.125,4.313,4.25,4.125,16600.0
1999-11-29,VTR,4.25,4.5,4.5,4.25,46500.0
1999-11-30,VTR,4.25,4.938,4.938,4.375,89800.0
1999-12-01,VTR,4.5,4.875,4.75,4.875,107000.0
1999-12-02,VTR,4.5,4.75,4.5,4.688,126600.0
1999-12-03,VTR,4.188,4.625,4.188,4.563,61200.0
1999-12-06,VTR,4.188,4.438,4.375,4.25,60100.0
1999-12-07,VTR,4.188,4.313,4.25,4.2503,38500.0
1999-12-08,VTR,4.188,4.375,4.25,4.25,64500.0
1999-12-09,VTR,4.188,4.313,4.313,4.25,58500.0
1999-12-10,VTR,4.188,4.313,4.25,4.25,44900.0
1999-12-13,VTR,4.188,4.313,4.25,4.25,27100.0
1999-12-14,VTR,4.188,4.375,4.188,4.25,57600.0
1999-12-15,VTR,4.0,4.188,4.0,4.188,195000.0
1999-12-16,VTR,3.813,4.125,3.875,4.0,61000.0
1999-12-17,VTR,3.688,4.0,3.938,3.75,206200.0
1999-12-20,VTR,3.75,3.938,3.938,3.875,82800.0
1999-12-21,VTR,3.688,3.875,3.75,3.813,122100.0
1999-12-22,VTR,3.75,3.875,3.75,3.7499,58900.0
1999-12-23,VTR,3.75,3.875,3.75,3.813,41300.0
1999-12-27,VTR,3.75,3.938,3.813,3.75,516000.0
1999-12-28,VTR,3.75,3.875,3.75,3.75,136100.0
1999-12-29,VTR,3.75,3.875,3.875,3.75,317600.0
1999-12-30,VTR,3.688,3.938,3.75,3.813,169400.0
1999-12-31,VTR,3.75,4.313,4.188,3.75,802800.0
2000-01-03,VTR,4.0,4.25,4.0,4.25,15000.0
2000-01-04,VTR,3.938,4.0,4.0,4.0,34900.0
2000-01-05,VTR,3.938,4.125,3.938,3.938,26600.0
2000-01-06,VTR,3.938,4.125,4.0,3.938,24100.0
2000-01-07,VTR,3.875,4.0002,3.938,3.938,74000.0
2000-01-10,VTR,3.938,4.125,4.0,3.938,47400.0
2000-01-11,VTR,3.875,3.938,3.938,3.875,45800.0
2000-01-12,VTR,3.875,3.938,3.875,3.875,13700.0
2000-01-13,VTR,3.875,4.063,3.938,3.875,27100.0
2000-01-14,VTR,3.938,4.0,4.0,3.938,31700.0
2000-01-18,VTR,3.938,4.063,4.063,4.0,18000.0
2000-01-19,VTR,3.938,4.063,4.063,4.0,24800.0
2000-01-20,VTR,4.0,4.063,4.0,4.063,28100.0
2000-01-21,VTR,3.938,4.0,3.938,4.0,35600.0
2000-01-24,VTR,3.688,4.0,3.688,3.938,91500.0
2000-01-25,VTR,3.438,3.75,3.5,3.75,313200.0
2000-01-26,VTR,3.375,3.625,3.5,3.438,64900.0
2000-01-27,VTR,3.375,3.625,3.5,3.5,94800.0
2000-01-28,VTR,3.3751,3.5,3.438,3.438,110500.0
