Date,symbol,Low,High,Close,Open,Volume
1999-09-28,VZ,65.125,67.5,67.125,65.125,3283500.0
1999-09-29,VZ,65.75,68.188,65.813,67.625,3703700.0
1999-09-30,VZ,66.938,68.0,67.313,67.875,3983400.0
1999-10-01,VZ,65.688,67.5,66.375,67.313,2601900.0
1999-10-04,VZ,66.813,69.5,69.5,67.125,3085300.0
1999-10-05,VZ,65.0,69.25,65.563,68.5,4252600.0
1999-10-06,VZ,65.625,66.688,66.688,65.688,3695000.0
1999-10-07,VZ,65.313,67.0,66.438,65.9977,2707600.0
1999-10-08,VZ,65.938,67.75,66.938,66.375,3130400.0
1999-10-11,VZ,65.75,66.875,65.813,66.375,2856600.0
1999-10-12,VZ,63.563,65.688,64.063,65.688,3818200.0
1999-10-13,VZ,63.188,64.75,64.5,63.5,3412300.0
1999-10-14,VZ,63.313,64.688,63.375,64.25,3267900.0
1999-10-15,VZ,61.8748,63.875,63.875,62.5,4670800.0
1999-10-18,VZ,62.938,65.5,65.375,63.6251,3867500.0
1999-10-19,VZ,63.1861,65.813,63.938,65.5,3421800.0
1999-10-20,VZ,63.063,64.25,63.813,64.25,1797300.0
1999-10-21,VZ,62.5,63.688,63.438,63.625,2126100.0
1999-10-22,VZ,62.563,63.563,63.0,63.563,2696400.0
1999-10-25,VZ,61.875,63.063,62.813,62.938,3025500.0
1999-10-26,VZ,62.063,63.1249,62.063,62.563,3557600.0
1999-10-27,VZ,62.125,62.938,62.875,62.125,5167500.0
1999-10-28,VZ,63.5,65.5,64.625,63.875,4174500.0
1999-10-29,VZ,64.2513,65.438,64.938,65.063,3250900.0
1999-11-01,VZ,64.438,65.313,64.438,65.188,4260300.0
1999-11-02,VZ,63.0041,64.875,63.0,64.313,2668800.0
1999-11-03,VZ,62.563,63.75,63.5,62.75,2965100.0
1999-11-04,VZ,62.625,63.688,62.625,63.563,2207800.0
1999-11-05,VZ,62.313,63.5,62.313,62.813,4171900.0
1999-11-08,VZ,62.375,64.5,64.438,62.375,3440800.0
1999-11-09,VZ,62.5,64.313,62.875,64.313,2853700.0
1999-11-10,VZ,62.563,63.688,63.625,62.75,2528200.0
1999-11-11,VZ,62.938,64.125,63.5,64.125,2714600.0
1999-11-12,VZ,62.875,63.688,62.875,63.375,2531700.0
1999-11-15,VZ,62.813,63.563,63.375,63.25,2036000.0
1999-11-16,VZ,63.375,64.813,64.438,63.5,2261300.0
1999-11-17,VZ,64.125,65.438,65.188,64.188,2598900.0
1999-11-18,VZ,63.938,65.125,64.0,64.938,2016500.0
1999-11-19,VZ,64.125,65.125,64.813,64.188,1780900.0
1999-11-22,VZ,62.9951,64.25,63.578,64.125,2267600.0
1999-11-23,VZ,61.625,63.625,61.879,63.625,2441800.0
1999-11-24,VZ,61.563,62.5627,62.125,61.563,2378700.0
1999-11-26,VZ,62.5,63.625,62.875,62.625,1168700.0
1999-11-29,VZ,62.125,63.625,62.625,63.625,4198600.0
1999-11-30,VZ,63.0,64.5,63.785,63.0,4334800.0
1999-12-01,VZ,62.563,64.874,64.438,63.25,4393500.0
1999-12-02,VZ,63.938,65.875,64.832,64.188,3414700.0
1999-12-03,VZ,64.688,66.313,66.0,64.75,4208100.0
1999-12-06,VZ,63.688,65.9395,64.375,65.0,3198900.0
1999-12-07,VZ,63.75,65.688,64.0,65.188,3565800.0
1999-12-08,VZ,63.563,64.75,64.051,64.125,2088600.0
1999-12-09,VZ,63.5,64.375,64.375,64.063,2545500.0
1999-12-10,VZ,63.125,64.7512,63.25,64.75,2074900.0
1999-12-13,VZ,62.75,65.563,65.313,63.063,3323100.0
1999-12-14,VZ,64.1855,65.563,64.813,64.5,3276400.0
1999-12-15,VZ,64.438,65.188,64.688,64.5,3204600.0
1999-12-16,VZ,63.438,64.75,64.313,64.5,4029400.0
1999-12-17,VZ,64.375,65.438,64.938,64.8766,6575800.0
1999-12-20,VZ,64.0,65.0,64.875,64.938,2725000.0
1999-12-21,VZ,64.875,67.25,65.563,65.375,5252600.0
1999-12-22,VZ,64.313,67.25,64.5,67.0,5084200.0
1999-12-23,VZ,63.688,65.5,63.938,64.438,3487600.0
1999-12-27,VZ,59.188,62.688,60.125,62.625,8822500.0
1999-12-28,VZ,60.688,62.438,62.188,61.0,4197600.0
1999-12-29,VZ,61.375,62.75,61.75,62.5,1798400.0
1999-12-30,VZ,61.063,61.625,61.5,61.313,1575100.0
1999-12-31,VZ,61.438,62.188,61.563,61.563,993000.0
2000-01-03,VZ,59.625,61.625,59.938,60.625,4663700.0
2000-01-04,VZ,57.25,60.438,58.0,59.688,5005800.0
2000-01-05,VZ,58.5,60.813,59.938,59.0,6368500.0
2000-01-06,VZ,58.375,59.688,59.25,59.688,4705600.0
2000-01-07,VZ,57.813,59.063,58.813,58.8721,5043800.0
2000-01-10,VZ,57.813,59.313,58.5,58.813,4487800.0
2000-01-11,VZ,57.25,58.375,57.949,57.75,3694400.0
2000-01-12,VZ,56.0,57.625,56.0,56.375,4288100.0
2000-01-13,VZ,55.563,57.188,55.563,57.0,3783700.0
2000-01-14,VZ,55.563,56.625,56.313,55.938,3180500.0
2000-01-18,VZ,56.813,59.938,58.75,57.0,4861700.0
2000-01-19,VZ,57.5,58.5,57.625,57.5,2962300.0
2000-01-20,VZ,57.813,59.25,57.813,58.063,2711000.0
2000-01-21,VZ,59.0,61.313,60.063,59.875,5706500.0
2000-01-24,VZ,59.938,60.813,60.125,60.313,3908300.0
2000-01-25,VZ,58.188,60.25,58.5,60.063,4420200.0
2000-01-26,VZ,57.563,58.938,57.75,58.75,4054100.0
2000-01-27,VZ,57.125,58.75,58.25,58.0,3124900.0
