Date,symbol,Low,High,Close,Open,Volume
1999-09-28,WHR,62.5,64.25,63.0,62.688,400100.0
1999-09-29,WHR,63.438,65.375,63.688,64.25,448000.0
1999-09-30,WHR,63.5,66.375,65.313,63.75,294100.0
1999-10-01,WHR,62.125,65.063,63.688,65.063,327600.0
1999-10-04,WHR,62.063,64.125,62.563,63.813,264600.0
1999-10-05,WHR,60.375,62.5,62.125,62.313,524500.0
1999-10-06,WHR,59.5,65.5,65.063,61.6252,2027500.0
1999-10-07,WHR,60.375,63.625,61.125,63.125,821700.0
1999-10-08,WHR,59.5,62.25,61.875,60.625,743300.0
1999-10-11,WHR,61.875,63.938,63.375,61.875,222400.0
1999-10-12,WHR,62.313,63.75,63.313,63.375,403200.0
1999-10-13,WHR,62.125,64.75,62.125,64.0,956200.0
1999-10-14,WHR,62.75,67.063,66.625,62.938,1136200.0
1999-10-15,WHR,63.375,66.0,64.25,65.938,526500.0
1999-10-18,WHR,64.25,65.813,65.75,64.313,303900.0
1999-10-19,WHR,63.813,67.0,64.125,67.0,448200.0
1999-10-20,WHR,63.5,66.125,64.375,65.125,553600.0
1999-10-21,WHR,61.438,65.125,62.125,64.313,570000.0
1999-10-22,WHR,61.688,64.813,64.375,62.0,469600.0
1999-10-25,WHR,63.9984,66.0,65.438,64.25,234100.0
1999-10-26,WHR,65.25,67.438,65.438,65.438,655300.0
1999-10-27,WHR,64.375,65.625,64.75,65.5,163200.0
1999-10-28,WHR,65.375,66.625,66.438,65.5,201700.0
1999-10-29,WHR,66.625,73.5,69.688,66.688,838400.0
1999-11-01,WHR,70.125,71.938,71.063,70.25,480200.0
1999-11-02,WHR,71.0,73.563,71.563,71.125,519100.0
1999-11-03,WHR,67.813,70.125,68.063,70.063,1083700.0
1999-11-04,WHR,67.625,69.438,68.5,68.375,386200.0
1999-11-05,WHR,69.5,70.375,70.0,70.0,668700.0
1999-11-08,WHR,68.563,69.938,68.938,69.875,383000.0
1999-11-09,WHR,69.125,70.438,70.375,69.625,312800.0
1999-11-10,WHR,68.625,70.375,68.688,70.125,251000.0
1999-11-11,WHR,67.75,68.938,67.938,68.438,348100.0
1999-11-12,WHR,66.688,68.625,67.875,68.188,265700.0
1999-11-15,WHR,66.125,67.375,66.938,67.125,504100.0
1999-11-16,WHR,66.875,68.938,67.375,67.188,232400.0
1999-11-17,WHR,64.875,67.125,65.438,66.75,358000.0
1999-11-18,WHR,65.625,67.25,66.813,65.688,586300.0
1999-11-19,WHR,64.5,67.063,65.0,67.063,449900.0
1999-11-22,WHR,64.313,65.875,64.375,65.0,311500.0
1999-11-23,WHR,63.25,64.25,63.566,64.25,262800.0
1999-11-24,WHR,62.375,63.5,62.625,63.5009,225900.0
1999-11-26,WHR,62.563,63.563,63.313,62.625,165000.0
1999-11-29,WHR,62.375,64.563,63.438,62.688,213500.0
1999-11-30,WHR,61.0,63.248000000000005,61.0,63.188,283800.0
1999-12-01,WHR,60.875,62.688,61.125,61.438,358900.0
1999-12-02,WHR,61.313,62.813,62.188,61.313,230300.0
1999-12-03,WHR,61.625,63.875,61.813,62.75,243400.0
1999-12-06,WHR,61.3148,62.25,61.875,61.813,409800.0
1999-12-07,WHR,61.563,62.938,61.625,61.875,256900.0
1999-12-08,WHR,59.813,61.938,60.188,61.438,461100.0
1999-12-09,WHR,60.25,62.813,61.188,60.25,328300.0
1999-12-10,WHR,58.875,61.625,59.438,61.188,339400.0
1999-12-13,WHR,56.875,59.438,57.938,59.438,418800.0
1999-12-14,WHR,56.75,60.625,59.875,57.94,557800.0
1999-12-15,WHR,60.0,61.438,61.188,60.0,488800.0
1999-12-16,WHR,60.75,61.438,61.313,61.25,369700.0
1999-12-17,WHR,61.375,63.25,61.938,61.375,530000.0
1999-12-20,WHR,61.75,62.938,62.125,62.0,316400.0
1999-12-21,WHR,62.25,64.0,63.438,62.25,311500.0
1999-12-22,WHR,61.438,63.25,62.813,63.188,210700.0
1999-12-23,WHR,62.563,63.813,62.938,63.0,156700.0
1999-12-27,WHR,62.563,63.875,63.313,62.938,166300.0
1999-12-28,WHR,62.813,63.625,62.813,63.313,194600.0
1999-12-29,WHR,63.563,64.438,63.75,63.563,157300.0
1999-12-30,WHR,63.5,65.813,64.938,63.625,126000.0
1999-12-31,WHR,64.063,65.375,65.063,64.688,136600.0
2000-01-03,WHR,61.6911,64.438,61.813,64.313,294400.0
2000-01-04,WHR,58.9332,62.188,59.438,61.563,472600.0
2000-01-05,WHR,59.313,60.813,60.313,59.438,419500.0
2000-01-06,WHR,59.688,61.625,60.813,60.188,266600.0
2000-01-07,WHR,60.375,61.563,61.0,60.938,298400.0
2000-01-10,WHR,61.125,62.688,61.75,61.25,212700.0
2000-01-11,WHR,62.0,64.563,64.0,62.0,309500.0
2000-01-12,WHR,61.75,63.813,61.75,63.75,357100.0
2000-01-13,WHR,61.25,62.25,61.438,62.0,174500.0
2000-01-14,WHR,61.125,62.188,61.188,61.5,239500.0
2000-01-18,WHR,59.25,60.313,59.313,60.0,233500.0
2000-01-19,WHR,59.625,63.188,59.625,61.5,548000.0
2000-01-20,WHR,59.125,60.563,59.5,59.875,471900.0
2000-01-21,WHR,52.25,58.0,57.5,56.0,2453200.0
2000-01-24,WHR,57.375,59.938,57.938,57.75,894400.0
2000-01-25,WHR,51.75,58.375,53.625,57.938,1122600.0
2000-01-26,WHR,55.0,59.938,59.875,55.062,920900.0
2000-01-27,WHR,56.438,60.25,56.688,59.625,895100.0
2000-01-28,WHR,55.375,58.563,56.75,55.375,375500.0
2000-01-31,WHR,56.25,58.75,58.25,56.5,391500.0
2000-02-01,WHR,58.25,60.438,59.688,58.25,531500.0
2000-02-02,WHR,57.563,59.5,57.625,59.438,468300.0
2000-02-03,WHR,57.063,58.25,57.563,57.5645,355000.0
2000-02-04,WHR,56.313,58.188,56.375,57.813,300100.0
2000-02-07,WHR,55.0,57.25,55.563,56.3788,495300.0
2000-02-08,WHR,54.375,56.1898,54.375,55.813,372300.0
2000-02-09,WHR,54.688,55.375,54.938,55.063,355200.0
2000-02-10,WHR,54.125,55.438,54.375,55.0,288900.0
2000-02-11,WHR,52.625,55.375,52.75,54.938,253400.0
2000-02-14,WHR,50.5,53.875,52.938,51.75,741400.0
2000-02-15,WHR,51.938,54.063,52.688,53.063,711000.0
2000-02-16,WHR,53.0,54.125,54.0,53.066,493300.0
2000-02-17,WHR,54.0018,58.438,57.0,54.0,575000.0
2000-02-18,WHR,54.313,56.688,54.5,56.375,487000.0
2000-02-22,WHR,54.25,55.25,54.563,54.5016,473400.0
2000-02-23,WHR,54.125,54.9371,54.188,54.563,467700.0
2000-02-24,WHR,52.563,54.688,54.25,54.188,673400.0
2000-02-25,WHR,53.313,54.438,53.375,53.875,699900.0
2000-02-28,WHR,52.875,54.0,53.625,53.875,291900.0
2000-02-29,WHR,53.125,55.0,54.313,53.125,486000.0
2000-03-01,WHR,51.75,54.438,53.438,54.313,317000.0
2000-03-02,WHR,51.125,53.375,51.5,53.188,353200.0
2000-03-03,WHR,51.313,53.25,52.188,51.563,543900.0
2000-03-06,WHR,52.125,52.813,52.313,52.125,321400.0
2000-03-07,WHR,50.25,53.625,50.438,52.063,329400.0
2000-03-08,WHR,48.625,51.0,49.625,50.75,392600.0
2000-03-09,WHR,49.1831,52.188,51.688,49.625,583700.0
2000-03-10,WHR,49.5,52.438,50.063,51.938,276400.0
2000-03-13,WHR,49.0008,50.625,49.563,49.5,388000.0
2000-03-14,WHR,48.875,50.438,48.875,49.813,409500.0
2000-03-15,WHR,49.125,56.375,54.063,49.125,650600.0
2000-03-16,WHR,55.438,58.625,58.438,56.0,844400.0
2000-03-17,WHR,57.0,59.75,57.063,58.375,581700.0
2000-03-20,WHR,55.125,57.688,56.875,57.188,486600.0
2000-03-21,WHR,56.7474,61.938,60.375,56.875,611700.0
2000-03-22,WHR,56.375,59.625,57.625,59.375,451700.0
2000-03-23,WHR,57.0,59.125,58.0,57.875,237600.0
2000-03-24,WHR,56.75,59.25,56.813,58.0,301200.0
2000-03-27,WHR,56.5,58.188,56.5,56.875,311300.0
2000-03-28,WHR,55.75,57.875,56.188,55.875,240600.0
2000-03-29,WHR,55.75,59.688,58.938,55.938,320500.0
2000-03-30,WHR,59.0,62.0,59.688,59.063,359800.0
2000-03-31,WHR,58.6214,60.563,58.625,59.938,325300.0
2000-04-03,WHR,58.7506,61.313,59.375,58.813,480700.0
2000-04-04,WHR,59.9355,64.0,62.063,60.438,563600.0
2000-04-05,WHR,60.5,63.125,60.625,61.5,315800.0
2000-04-06,WHR,60.1242,61.938,60.75,60.375,361400.0
2000-04-07,WHR,59.1901,60.813,60.188,60.625,202900.0
2000-04-10,WHR,60.0,62.0,61.5,60.125,229200.0
2000-04-11,WHR,60.9371,62.938,61.313,61.75,268900.0
2000-04-12,WHR,61.563,64.5,63.875,61.563,426600.0
2000-04-13,WHR,63.75,64.75,64.0,63.9984,499100.0
2000-04-14,WHR,61.125,64.375,61.5,64.258,455900.0
2000-04-17,WHR,60.563,62.25,61.0,61.375,298300.0
2000-04-18,WHR,59.375,61.0,60.188,61.0,377700.0
2000-04-19,WHR,57.2512,61.0,58.063,60.625,662900.0
2000-04-20,WHR,58.0,62.9372,61.75,58.0,625200.0
2000-04-24,WHR,61.563,65.875,64.125,61.625,518800.0
2000-04-25,WHR,64.438,67.438,66.625,65.125,701100.0
2000-04-26,WHR,65.25,67.563,66.25,66.563,657900.0
2000-04-27,WHR,64.063,65.688,64.375,64.5,503000.0
2000-04-28,WHR,64.5,66.875,65.125,64.625,545500.0
2000-05-01,WHR,65.563,68.0,67.0,66.438,476300.0
2000-05-02,WHR,65.938,68.313,66.5,67.063,504000.0
2000-05-03,WHR,65.875,68.188,67.25,65.875,509600.0
2000-05-04,WHR,65.0,67.813,65.0,67.1264,329300.0
2000-05-05,WHR,64.438,67.75,66.813,64.75,263500.0
2000-05-08,WHR,62.875,67.188,63.25,67.063,399300.0
2000-05-09,WHR,62.563,65.344,63.5,64.5,445100.0
2000-05-10,WHR,61.688,64.25,61.875,63.625,298800.0
2000-05-11,WHR,62.125,66.125,65.688,62.25,291500.0
2000-05-12,WHR,63.5,65.688,63.75,65.563,252400.0
2000-05-15,WHR,63.188,65.188,65.063,63.625,304000.0
2000-05-16,WHR,64.688,67.125,65.125,64.688,321300.0
2000-05-17,WHR,62.625,64.75,63.063,64.5,289400.0
2000-05-18,WHR,63.75,65.75,64.875,64.0,246400.0
2000-05-19,WHR,61.6278,63.813,61.938,63.75,576800.0
2000-05-22,WHR,60.625,62.688,61.125,62.0,352900.0
2000-05-23,WHR,61.375,62.938,61.75,61.375,200300.0
2000-05-24,WHR,60.5,63.625,62.625,61.625,364400.0
2000-05-25,WHR,60.375,63.25,61.0,62.375,355600.0
2000-05-26,WHR,58.625,61.0,59.0,61.0,498200.0
2000-05-30,WHR,59.313,60.938,60.688,60.125,337400.0
2000-05-31,WHR,56.688,60.75,56.688,60.0,516300.0
2000-06-01,WHR,56.375,57.25,56.563,56.938,666900.0
2000-06-02,WHR,56.875,61.125,59.75,57.0,378800.0
2000-06-05,WHR,57.25,60.4377,58.375,59.75,330500.0
2000-06-06,WHR,54.563,57.938,55.297,57.875,926500.0
2000-06-07,WHR,53.438,56.25,53.938,55.813,724900.0
2000-06-08,WHR,54.063,55.125,54.188,54.063,186000.0
2000-06-09,WHR,53.688,55.375,54.375,54.875,330500.0
2000-06-12,WHR,54.375,56.5,55.25,54.375,378100.0
2000-06-13,WHR,53.313,55.313,53.438,55.0,900100.0
2000-06-14,WHR,53.375,56.0,53.813,53.563,450100.0
2000-06-15,WHR,52.5,54.25,53.375,53.813,408500.0
2000-06-16,WHR,50.688,53.313,51.5,53.25,479100.0
2000-06-19,WHR,50.0,51.625,50.625,51.25,748800.0
2000-06-20,WHR,49.188,51.0,49.563,51.0,576300.0
2000-06-21,WHR,48.5,49.938,48.625,49.75,437900.0
2000-06-22,WHR,48.688,51.6276,50.563,48.75,601000.0
2000-06-23,WHR,50.0,51.875,51.438,50.563,361500.0
2000-06-26,WHR,49.5,52.25,49.5,51.438,370100.0
2000-06-27,WHR,50.375,52.375,51.875,50.375,265600.0
2000-06-28,WHR,50.875,53.063,51.355,52.5027,305800.0
2000-06-29,WHR,50.875,52.813,50.875,51.375,421700.0
2000-06-30,WHR,46.6131,51.375,46.625,49.25,1455400.0
2000-07-03,WHR,47.25,50.938,50.5,47.2459,417100.0
2000-07-05,WHR,49.875,51.563,49.938,50.625,396900.0
2000-07-06,WHR,49.688,51.625,51.0,49.688,431600.0
2000-07-07,WHR,50.0,51.813,50.5,50.9988,247800.0
2000-07-10,WHR,50.688,52.938,52.563,50.6896,278800.0
2000-07-11,WHR,52.0,53.75,53.688,52.0,337000.0
2000-07-12,WHR,52.0,53.375,53.313,53.25,543200.0
2000-07-13,WHR,52.75,54.063,54.063,53.25,480700.0
2000-07-14,WHR,52.75,53.938,53.25,53.875,196400.0
2000-07-17,WHR,52.063,54.063,54.063,52.625,354300.0
2000-07-18,WHR,49.063,50.938,49.375,49.5042,1390100.0
2000-07-19,WHR,47.5,49.625,48.125,49.375,659300.0
2000-07-20,WHR,47.313,48.7493,48.0,47.875,729300.0
2000-07-21,WHR,47.25,48.125,47.688,47.625,527900.0
2000-07-24,WHR,46.688,48.75,46.938,47.438,548000.0
2000-07-25,WHR,41.0,44.938,43.125,44.875,2039500.0
2000-07-26,WHR,41.0,43.813,41.438,43.25,1374700.0
2000-07-27,WHR,40.063,42.063,40.5,41.5,1368800.0
2000-07-28,WHR,40.563,41.3142,40.875,40.75,990400.0
2000-07-31,WHR,40.75,43.875,43.188,40.75,613300.0
2000-08-01,WHR,42.188,43.063,42.313,42.25,468200.0
2000-08-02,WHR,41.188,42.813,41.188,42.0,480300.0
2000-08-03,WHR,40.375,41.5,40.75,41.188,533700.0
2000-08-04,WHR,39.9351,41.25,40.063,41.0,898000.0
2000-08-07,WHR,40.2501,42.75,42.25,40.375,623400.0
2000-08-08,WHR,41.25,43.875,42.625,41.25,782300.0
2000-08-09,WHR,42.375,43.438,42.5,42.75,412400.0
2000-08-10,WHR,42.188,43.688,42.375,42.688,379100.0
2000-08-11,WHR,42.375,43.438,43.188,42.375,310800.0
2000-08-14,WHR,44.813,46.75,45.563,45.938,1001300.0
2000-08-15,WHR,44.625,45.875,45.0,45.5,454000.0
2000-08-16,WHR,44.0,45.4375,44.0,45.0,365100.0
2000-08-17,WHR,43.875,44.875,44.313,44.5,282800.0
2000-08-18,WHR,43.625,44.938,43.625,44.813,355900.0
2000-08-21,WHR,43.313,44.125,43.438,43.875,322600.0
2000-08-22,WHR,43.5,45.063,44.5,43.875,337400.0
2000-08-23,WHR,43.688,44.875,43.75,44.75,281700.0
2000-08-24,WHR,43.875,45.625,43.938,44.4983,953900.0
2000-08-25,WHR,42.625,43.875,42.813,43.813,574700.0
2000-08-28,WHR,37.125,39.375,38.125,38.625,2865800.0
2000-08-29,WHR,37.125,38.563,37.875,38.25,1419800.0
2000-08-30,WHR,31.5,38.375,38.0,33.0,2669900.0
2000-08-31,WHR,37.063,38.75,38.02,38.563,1065600.0
2000-09-01,WHR,37.313,38.375,37.688,38.0,774000.0
2000-09-05,WHR,37.313,39.0,38.438,37.4967,1252100.0
2000-09-06,WHR,38.563,41.125,40.5,38.564,1268200.0
2000-09-07,WHR,39.125,41.44,39.875,41.0,743800.0
2000-09-08,WHR,39.5,40.25,39.813,39.813,602600.0
2000-09-11,WHR,39.75,41.25,40.875,39.875,558000.0
2000-09-12,WHR,39.563,40.813,39.938,40.625,551200.0
2000-09-13,WHR,39.563,40.188,40.125,39.5636,413300.0
2000-09-14,WHR,39.313,40.563,39.563,39.875,478300.0
2000-09-15,WHR,38.5,39.813,38.813,38.5,980000.0
2000-09-18,WHR,37.75,39.063,37.75,38.875,369900.0
2000-09-19,WHR,37.5,39.25,38.875,37.5,993200.0
2000-09-20,WHR,38.0,39.25,38.938,38.625,925500.0
2000-09-21,WHR,38.813,39.938,39.5,38.813,877900.0
2000-09-22,WHR,39.313,39.875,39.75,39.5,585300.0
2000-09-25,WHR,39.438,40.8741,40.5,39.5,693600.0
2000-09-26,WHR,39.0,40.313,39.0,40.25,973400.0
2000-09-27,WHR,39.0,39.563,39.25,38.9981,399100.0
2000-09-28,WHR,38.625,39.875,39.25,39.313,586400.0
2000-09-29,WHR,38.563,39.75,38.875,39.6212,416200.0
2000-10-02,WHR,38.25,39.25,38.5,38.625,406200.0
2000-10-03,WHR,38.125,38.813,38.188,38.5,410900.0
2000-10-04,WHR,37.813,39.0,38.063,38.375,786600.0
2000-10-05,WHR,37.75,38.3779,37.875,38.125,248900.0
2000-10-06,WHR,37.6257,38.25,37.813,38.125,362300.0
2000-10-09,WHR,37.625,38.25,37.813,37.875,181100.0
2000-10-10,WHR,37.125,38.0,37.438,37.875,258200.0
