Date,symbol,Low,High,Close,Open,Volume
1999-09-28,WMB,35.125,36.938,35.938,36.7493,1657900.0
1999-09-29,WMB,35.813,39.25,38.375,35.938,2676800.0
1999-09-30,WMB,36.375,38.875,37.625,38.875,3292600.0
1999-10-01,WMB,36.625,39.25,37.938,37.438,3408400.0
1999-10-04,WMB,37.375,38.438,37.688,37.938,3083000.0
1999-10-05,WMB,37.75,39.6877,39.688,38.0,3480100.0
1999-10-06,WMB,38.688,39.875,39.0,39.563,1472600.0
1999-10-07,WMB,38.0,39.25,38.313,38.625,1262700.0
1999-10-08,WMB,37.438,38.188,37.75,38.063,1669800.0
1999-10-11,WMB,36.875,37.8713,37.063,37.0,1816700.0
1999-10-12,WMB,37.438,38.875,38.313,37.438,1840400.0
1999-10-13,WMB,36.75,38.063,36.938,38.0614,1221200.0
1999-10-14,WMB,35.1902,36.938,36.688,36.875,3031400.0
1999-10-15,WMB,34.375,35.5,34.438,35.0,2678400.0
1999-10-18,WMB,33.9353,35.75,35.5,34.688,1937400.0
1999-10-19,WMB,34.125,36.313,34.438,36.125,1306900.0
1999-10-20,WMB,33.125,34.938,34.188,34.8123,3242300.0
1999-10-21,WMB,33.0,34.3742,34.0,34.188,3098000.0
1999-10-22,WMB,33.125,35.5,34.875,33.75,4245300.0
1999-10-25,WMB,34.75,36.0,34.938,34.938,2968500.0
1999-10-26,WMB,34.125,35.625,34.75,34.875,2181900.0
1999-10-27,WMB,34.375,37.3731,36.375,35.0,3481500.0
1999-10-28,WMB,37.063,38.1225,37.5,38.0,1852900.0
1999-10-29,WMB,37.2498,38.5,37.5,38.313,1962200.0
1999-11-01,WMB,37.25,38.0,37.813,37.563,1320400.0
1999-11-02,WMB,37.375,38.063,37.625,37.938,1821800.0
1999-11-03,WMB,35.563,37.063,35.938,36.75,3178600.0
1999-11-04,WMB,35.563,36.875,35.938,36.5,2580700.0
1999-11-05,WMB,34.75,36.375,35.0,35.813,2316900.0
1999-11-08,WMB,33.938,36.25,35.813,34.0,2269100.0
1999-11-09,WMB,34.938,36.5,35.063,36.188,1524500.0
1999-11-10,WMB,34.375,35.25,34.75,34.813,1394800.0
1999-11-11,WMB,34.438,35.438,34.875,34.938,1197300.0
1999-11-12,WMB,35.063,36.438,35.938,36.375,1528200.0
1999-11-15,WMB,35.625,36.688,35.625,35.875,1739900.0
1999-11-16,WMB,35.125,36.5,36.5,35.625,2263600.0
1999-11-17,WMB,35.4383,37.125,35.75,36.5,1870200.0
1999-11-18,WMB,34.438,36.125,36.0,36.0,3994400.0
1999-11-19,WMB,35.25,36.125,35.938,35.813,1867600.0
1999-11-22,WMB,34.125,35.875,34.188,35.688,1939500.0
1999-11-23,WMB,32.25,34.125,32.746,34.0015,2742600.0
1999-11-24,WMB,33.063,34.0,34.0,33.25,2156800.0
1999-11-26,WMB,33.0,34.125,33.125,34.125,704900.0
1999-11-29,WMB,32.563,34.313,34.0,33.1892,2395900.0
1999-11-30,WMB,33.375,34.313,33.75,33.75,1443300.0
1999-12-01,WMB,33.063,33.75,33.125,33.5,1127600.0
1999-12-02,WMB,33.438,34.188,33.938,34.0,1869400.0
1999-12-03,WMB,33.5012,34.75,33.688,34.25,1921100.0
1999-12-06,WMB,33.438,34.125,33.688,34.0,1757900.0
1999-12-07,WMB,31.0,33.563,31.75,33.5,3812600.0
1999-12-08,WMB,30.25,31.563000000000002,31.125,31.0,3536300.0
1999-12-09,WMB,30.875,32.313,31.875,31.625,1881500.0
1999-12-10,WMB,30.25,31.688000000000002,30.875,31.625,1389300.0
1999-12-13,WMB,29.625,31.313000000000002,31.0,30.25,5055500.0
1999-12-14,WMB,30.0,31.5,30.563000000000002,30.875,2859000.0
