Date,symbol,Low,High,Close,Open,Volume
2015-06-24,WRK,63.38,63.45,63.38,63.45,3700.0
2015-06-25,WRK,61.9,62.9,61.9,62.9,4100.0
2015-06-26,WRK,55.7708,55.7708,55.7708,55.7708,100.0
2015-06-29,WRK,60.8,60.92,60.8,60.92,300.0
2015-06-30,WRK,60.33,61.4,60.9,61.33,2015000.0
2015-07-01,WRK,54.6265,56.2213,56.2213,54.7257,213500.0
2015-07-02,WRK,62.4,65.0,64.99,63.0,1936800.0
2015-07-06,WRK,62.99,66.4,63.75,65.12,2322200.0
2015-07-07,WRK,61.54,63.99,62.47,63.91,3388600.0
2015-07-08,WRK,59.5,63.9,59.71,62.5,4200200.0
2015-07-09,WRK,58.51,60.93,59.51,59.5,2535200.0
2015-07-10,WRK,59.4,61.6,61.4,59.97,2482800.0
2015-07-13,WRK,61.61,62.25,62.12,62.04,1386300.0
2015-07-14,WRK,61.44,63.05,62.19,62.1,1104100.0
2015-07-15,WRK,61.13,62.93,61.62,62.25,1342900.0
2015-07-16,WRK,61.536,63.68,62.32,61.7,1516000.0
2015-07-17,WRK,61.64,63.25,61.75,62.62,1346500.0
2015-07-20,WRK,61.5,62.93,61.55,62.0,2194300.0
2015-07-21,WRK,59.62,62.86,59.85,61.84,1998900.0
2015-07-22,WRK,59.57,61.14,60.14,60.35,999000.0
2015-07-23,WRK,59.35,60.78,59.85,59.77,1248300.0
2015-07-24,WRK,57.66,59.95,58.91,59.55,1281500.0
2015-07-27,WRK,57.865,59.42,58.19,58.45,1393100.0
2015-07-28,WRK,57.49,59.75,59.34,58.52,1816600.0
2015-07-29,WRK,58.08,59.73,59.39,58.88,1986900.0
2015-07-30,WRK,61.04,63.19,62.83,61.36,3918100.0
2015-07-31,WRK,61.16,63.75,63.06,61.5039,1803500.0
2015-08-03,WRK,62.39,64.74,63.17,63.37,2361900.0
2015-08-04,WRK,62.24,63.45,62.57,62.25,780300.0
2015-08-05,WRK,62.22,63.96,62.75,63.29,1664200.0
2015-08-06,WRK,60.4806,62.5,61.74,62.0,2815600.0
2015-08-07,WRK,60.98,62.61,62.56,61.68,2287400.0
2015-08-10,WRK,61.9,63.5,62.98,62.99,1580600.0
2015-08-11,WRK,61.71,63.9962,63.4,64.0,1916000.0
2015-08-12,WRK,61.71,63.87,63.31,63.4,1541800.0
2015-08-13,WRK,62.35,63.797,63.13,63.26,937100.0
2015-08-14,WRK,61.958999999999996,63.81,63.23,63.13,1041900.0
2015-08-17,WRK,62.63,63.41,63.34,62.63,792700.0
2015-08-18,WRK,62.91,63.58,63.16,63.02,894800.0
2015-08-19,WRK,62.07,63.29,62.07,62.98,1195300.0
2015-08-20,WRK,60.38,61.75,60.68,61.75,1439900.0
2015-08-21,WRK,58.63,60.265,59.01,60.22,2173600.0
2015-08-24,WRK,53.48,60.29,56.46,56.66,2381800.0
2015-08-25,WRK,55.01,58.37,55.5,58.3,2606800.0
2015-08-26,WRK,55.1475,57.94,56.45,57.13,2065000.0
2015-08-27,WRK,57.74,59.25,59.22,58.24,2080600.0
2015-08-28,WRK,59.22,60.42,60.26,59.32,1674500.0
2015-08-31,WRK,58.64,60.23,59.35,60.09,1866100.0
2015-09-01,WRK,57.66,59.12,58.43,58.5,2055000.0
2015-09-02,WRK,57.45,59.44,58.17,58.92,1373800.0
2015-09-03,WRK,58.18,59.64,58.72,58.35,1227100.0
2015-09-04,WRK,57.25,58.33,57.35,57.2602,911300.0
2015-09-08,WRK,57.69,58.68,58.6,58.14,694200.0
2015-09-09,WRK,58.13,60.0582,58.25,59.0,1193800.0
2015-09-10,WRK,58.03,59.41,58.74,58.13,1845800.0
2015-09-11,WRK,58.02,59.78,58.75,58.5,1146300.0
2015-09-14,WRK,57.55,59.62,59.58,58.75,1648500.0
2015-09-15,WRK,58.67,62.99,59.68,62.99,1578100.0
2015-09-16,WRK,57.0104,59.23,58.79,59.23,2181000.0
2015-09-17,WRK,57.38,59.18,57.73,58.68,1363600.0
2015-09-18,WRK,55.6,57.33,55.7,56.97,2420000.0
2015-09-21,WRK,55.49,57.68,55.86,57.68,1830600.0
2015-09-22,WRK,53.45,56.99,53.94,56.99,2210800.0
2015-09-23,WRK,52.58,55.02,52.79,53.83,2043700.0
2015-09-24,WRK,50.5019,52.45,52.31,51.01,2749900.0
2015-09-25,WRK,51.67,52.78,51.95,52.57,1630700.0
