Date,symbol,Low,High,Close,Open,Volume
1999-09-28,XOM,72.125,74.875,74.688,74.563,11376200.0
1999-09-29,XOM,74.625,76.438,74.75,76.25,7655600.0
1999-09-30,XOM,74.688,76.25,76.0,75.188,8757800.0
1999-10-01,XOM,74.563,76.125,74.625,75.938,7635000.0
1999-10-04,XOM,72.125,74.938,73.0,74.5,12483000.0
1999-10-05,XOM,71.25,73.375,72.188,72.75,8474800.0
1999-10-06,XOM,71.625,74.0,74.0,72.125,13190600.0
1999-10-07,XOM,72.625,73.813,73.125,73.813,6096200.0
1999-10-08,XOM,72.063,73.313,72.75,72.625,6759000.0
1999-10-11,XOM,72.5,73.688,73.375,72.75,6009400.0
1999-10-12,XOM,73.063,74.125,73.313,73.438,6921200.0
1999-10-13,XOM,73.375,74.25,73.625,74.125,9806000.0
1999-10-14,XOM,72.875,74.75,74.375,73.2468,8758000.0
1999-10-15,XOM,72.0,74.313,72.0,74.313,9256400.0
1999-10-18,XOM,71.5,73.188,73.0,72.25,6336000.0
1999-10-19,XOM,72.938,74.0,73.438,73.875,5789800.0
1999-10-20,XOM,73.563,76.625,76.5,73.875,10553800.0
1999-10-21,XOM,75.063,76.375,76.063,75.5,7574800.0
1999-10-22,XOM,75.875,76.938,76.875,76.875,5929000.0
1999-10-25,XOM,73.75,76.125,74.0,75.75,6792800.0
1999-10-26,XOM,71.688,73.3738,72.063,73.0,11704800.0
1999-10-27,XOM,71.5,72.875,71.75,72.125,9068800.0
1999-10-28,XOM,72.375,73.938,73.125,72.75,9133200.0
1999-10-29,XOM,72.688,74.5,74.063,73.625,8455600.0
1999-11-01,XOM,73.5628,75.0,74.75,74.063,6788600.0
1999-11-02,XOM,73.938,75.188,74.125,74.375,5900200.0
1999-11-03,XOM,72.563,74.625,73.0,74.625,7477200.0
1999-11-04,XOM,72.5,73.938,73.0,73.6904,7272000.0
1999-11-05,XOM,70.063,73.0,70.625,73.0,14346600.0
1999-11-08,XOM,71.0,74.8081,74.313,71.0,11023600.0
1999-11-09,XOM,74.375,75.375,75.313,74.938,6332000.0
1999-11-10,XOM,75.313,76.188,76.0,75.625,8894000.0
1999-11-11,XOM,75.375,76.875,76.813,76.063,7594400.0
1999-11-12,XOM,76.5,77.938,77.875,76.938,6975200.0
1999-11-15,XOM,77.375,78.063,78.0,77.875,7169800.0
1999-11-16,XOM,77.0,79.188,79.188,78.25,8814000.0
1999-11-17,XOM,79.0,81.25,80.25,79.125,14534400.0
1999-11-18,XOM,80.188,81.375,81.063,81.0,9179800.0
1999-11-19,XOM,79.625,81.063,79.688,81.0,7535800.0
1999-11-22,XOM,79.188,80.063,79.543,79.688,7202600.0
1999-11-23,XOM,77.688,79.938,77.99600000000001,79.875,8324000.0
1999-11-24,XOM,77.563,79.625,79.125,77.875,9523800.0
1999-11-26,XOM,78.0,79.063,78.0,78.5,2495600.0
1999-11-29,XOM,77.563,79.5,79.375,77.875,8409600.0
1999-11-30,XOM,78.875,80.188,79.313,79.9935,11735800.0
1999-12-01,XOM,79.25,82.875,82.5,79.25,12532000.0
1999-12-02,XOM,81.25,82.875,82.07799999999999,82.875,10940000.0
1999-12-03,XOM,81.625,83.125,82.527,82.0,11316400.0
1999-12-06,XOM,82.0,84.0,83.875,82.25299999999999,9154400.0
1999-12-07,XOM,83.75,85.18799999999999,83.875,84.0,15662400.0
1999-12-08,XOM,82.625,84.5,84.06299999999999,83.625,9909400.0
1999-12-09,XOM,83.875,86.56299999999999,86.125,84.375,12424000.0
1999-12-10,XOM,82.68799999999999,85.81299999999999,82.81299999999999,85.81299999999999,10557000.0
1999-12-13,XOM,81.063,83.81299999999999,82.656,83.375,12359000.0
1999-12-14,XOM,82.0,83.125,82.375,81.9949,11598000.0
1999-12-15,XOM,83.0614,84.25,83.06299999999999,83.25,13867400.0
1999-12-16,XOM,81.75,84.81299999999999,83.75,81.75,11829800.0
1999-12-17,XOM,82.25,84.25,82.625,83.93799999999999,21294800.0
1999-12-20,XOM,81.0,83.68799999999999,81.375,83.25,6932600.0
1999-12-21,XOM,80.625,82.0,80.75,81.0,7145200.0
1999-12-22,XOM,80.063,81.875,81.0,80.688,8356400.0
1999-12-23,XOM,81.5,84.06299999999999,83.81299999999999,82.43799999999999,7830400.0
1999-12-27,XOM,81.25,84.18799999999999,81.25,83.93799999999999,7026400.0
1999-12-28,XOM,80.5,82.56299999999999,80.563,81.563,8782600.0
1999-12-29,XOM,80.875,82.31299999999999,81.188,81.0,4378800.0
1999-12-30,XOM,79.75,81.375,80.438,81.375,5481800.0
1999-12-31,XOM,80.188,81.0,80.563,80.563,2758600.0
2000-01-03,XOM,77.875,80.75,78.313,79.503,13458200.0
2000-01-04,XOM,76.5,78.188,76.813,77.375,14510800.0
2000-01-05,XOM,77.813,81.75,81.0,78.0,17485000.0
2000-01-06,XOM,80.1905,85.81299999999999,85.18799999999999,80.625,19461600.0
2000-01-07,XOM,84.0,86.25,84.93799999999999,85.931,16603800.0
2000-01-10,XOM,83.56299999999999,84.625,83.75,84.18799999999999,8545400.0
2000-01-11,XOM,83.62299999999999,85.25,84.0,83.75,8722600.0
2000-01-12,XOM,82.81299999999999,84.375,83.5,83.25,10314200.0
2000-01-13,XOM,83.125,86.0,85.43799999999999,83.5,12056000.0
2000-01-14,XOM,83.0,85.4988,83.75,85.5,11268800.0
2000-01-18,XOM,82.375,85.5,84.75,82.75,11929400.0
2000-01-19,XOM,83.68799999999999,85.875,85.56299999999999,84.25,13088800.0
2000-01-20,XOM,82.68799999999999,85.25,83.68799999999999,85.18799999999999,9613400.0
2000-01-21,XOM,83.31299999999999,85.18799999999999,85.0,84.0,14343600.0
2000-01-24,XOM,83.0,86.31299999999999,84.25,85.43799999999999,12459400.0
2000-01-25,XOM,83.81299999999999,86.125,84.06299999999999,84.0,11921600.0
2000-01-26,XOM,82.68799999999999,84.56299999999999,83.5,84.06299999999999,9298000.0
2000-01-27,XOM,79.75,83.30799999999999,81.0,83.31299999999999,10548400.0
2000-01-28,XOM,78.875,81.0,78.875,80.0,10361000.0
2000-01-31,XOM,77.875,83.56299999999999,82.875,78.625,14612200.0
2000-02-01,XOM,81.375,83.43799999999999,83.18799999999999,83.31299999999999,10665400.0
2000-02-02,XOM,83.25,84.875,83.81299999999999,83.25,11562800.0
2000-02-03,XOM,80.063,84.0,82.375,83.43799999999999,11610800.0
2000-02-04,XOM,80.063,83.5,80.875,83.5,11436200.0
2000-02-07,XOM,79.5,81.25,80.75,79.5,7101200.0
2000-02-08,XOM,78.688,81.875,78.938,81.0,9372000.0
2000-02-09,XOM,76.0,77.313,76.25,76.75,12408200.0
2000-02-10,XOM,75.313,77.6841,75.875,76.25,13475600.0
2000-02-11,XOM,72.6935,76.688,73.875,76.0,12465800.0
2000-02-14,XOM,74.438,76.938,76.438,74.5,9753600.0
2000-02-15,XOM,77.438,80.563,79.313,77.75,10783600.0
2000-02-16,XOM,78.375,80.375,80.0,79.0,10264200.0
2000-02-17,XOM,77.313,79.0,77.875,79.0,11678400.0
2000-02-18,XOM,74.9985,77.375,75.0,77.313,13800600.0
2000-02-22,XOM,74.5,76.938,75.438,76.25,10854800.0
2000-02-23,XOM,73.125,75.813,74.625,74.125,8881600.0
2000-02-24,XOM,71.5,73.438,72.813,72.688,10786400.0
2000-02-25,XOM,70.0,74.375,71.063,72.563,11800600.0
2000-02-28,XOM,69.875,75.313,73.5,71.0008,11875200.0
2000-02-29,XOM,72.9409,75.625,75.313,73.5,10469200.0
2000-03-01,XOM,73.188,76.25,76.063,75.375,9884600.0
2000-03-02,XOM,75.563,77.688,77.0,76.0,9802200.0
2000-03-03,XOM,74.25,76.5,75.688,76.5,10207800.0
2000-03-06,XOM,72.0,75.0,72.938,74.0,10497400.0
2000-03-07,XOM,72.0,81.0,80.0,72.125,22811600.0
2000-03-08,XOM,77.5052,82.0,79.625,77.5,19981400.0
2000-03-09,XOM,77.438,80.563,80.438,78.0,10906200.0
2000-03-10,XOM,76.313,80.188,77.031,80.0,9430000.0
2000-03-13,XOM,74.375,77.938,75.875,76.5,9467400.0
2000-03-14,XOM,74.6315,78.0,77.25,75.125,9047600.0
2000-03-15,XOM,74.6883,78.0,77.75,77.188,11879800.0
2000-03-16,XOM,75.875,79.938,79.75,78.0,11600800.0
2000-03-17,XOM,77.0,79.688,77.125,79.313,14929200.0
2000-03-20,XOM,74.313,77.313,74.875,76.188,10685600.0
2000-03-21,XOM,75.625,77.75,77.0,75.75,10880600.0
2000-03-22,XOM,74.438,77.0,74.938,77.0024,14253200.0
2000-03-23,XOM,74.313,76.063,75.5,74.625,10115600.0
2000-03-24,XOM,75.625,77.563,77.25,75.75,8804400.0
2000-03-27,XOM,75.75,78.188,76.508,77.25,9663000.0
2000-03-28,XOM,75.625,79.0,79.0,75.625,8269600.0
2000-03-29,XOM,77.75,81.93799999999999,80.5,78.1834,20753600.0
2000-03-30,XOM,77.688,81.813,78.625,81.438,13274200.0
2000-03-31,XOM,77.813,79.938,78.0,78.875,12599600.0
2000-04-03,XOM,77.688,80.75,80.5,77.75,9955600.0
2000-04-04,XOM,79.938,82.875,82.5,79.938,16389200.0
2000-04-05,XOM,79.5,83.125,79.75,82.0,13026800.0
2000-04-06,XOM,80.063,82.0048,81.75,80.563,8265200.0
2000-04-07,XOM,79.063,81.375,79.563,81.0,7825600.0
2000-04-10,XOM,78.125,79.625,78.25,79.0,9092400.0
2000-04-11,XOM,78.688,80.938,79.375,78.938,10666400.0
2000-04-12,XOM,79.688,81.5,79.938,80.0,8594400.0
2000-04-13,XOM,78.813,81.0,80.0,79.938,8909400.0
2000-04-14,XOM,78.0,81.75,78.75,79.813,11848200.0
2000-04-17,XOM,75.125,79.375,75.5,78.625,16206400.0
2000-04-18,XOM,75.0,76.813,76.188,76.0,12060000.0
2000-04-19,XOM,76.0,78.438,77.438,76.25,12100000.0
2000-04-20,XOM,77.063,79.0,79.0,77.4318,8058000.0
2000-04-24,XOM,77.188,81.0,79.875,78.625,8909200.0
2000-04-25,XOM,80.125,81.5,81.0,80.25,11704600.0
2000-04-26,XOM,79.313,81.0,80.125,81.0,8418000.0
2000-04-27,XOM,78.625,80.938,80.688,79.625,9662200.0
2000-04-28,XOM,77.688,80.438,77.688,80.438,9728400.0
2000-05-01,XOM,77.6858,79.063,78.0,78.313,8859400.0
2000-05-02,XOM,78.0,79.563,78.25,78.188,8087200.0
2000-05-03,XOM,77.0,78.438,77.5,78.375,7065200.0
2000-05-04,XOM,77.813,79.688,79.5,78.0,10089400.0
2000-05-05,XOM,78.688,80.0,80.0,78.75,7078400.0
2000-05-08,XOM,79.375,80.75,80.438,79.875,7376600.0
2000-05-09,XOM,78.75,80.875,79.438,80.5,8383600.0
2000-05-10,XOM,79.625,82.125,81.5,79.688,11366400.0
2000-05-11,XOM,81.5,83.375,82.93799999999999,81.813,10974400.0
2000-05-12,XOM,81.688,82.68799999999999,82.023,82.44200000000001,7968600.0
2000-05-15,XOM,81.75,83.875,83.625,81.93799999999999,8905800.0
2000-05-16,XOM,82.25,83.68799999999999,83.25,83.2518,8719000.0
2000-05-17,XOM,80.5,82.5,81.375,82.0,11096200.0
2000-05-18,XOM,80.938,82.375,81.445,81.5,7159000.0
2000-05-19,XOM,79.938,82.125,81.75,80.188,8433000.0
2000-05-22,XOM,82.25,83.93799999999999,83.31299999999999,82.375,9678000.0
2000-05-23,XOM,81.625,83.56299999999999,83.0,83.43799999999999,8577400.0
2000-05-24,XOM,82.06299999999999,83.43799999999999,82.93799999999999,82.81299999999999,9207800.0
2000-05-25,XOM,80.688,82.56299999999999,81.438,82.375,8616200.0
2000-05-26,XOM,81.563,83.125,82.375,81.6801,5940200.0
2000-05-30,XOM,81.813,83.625,83.5,82.0,10202600.0
2000-05-31,XOM,82.31299999999999,83.875,83.31299999999999,83.0,9847400.0
2000-06-01,XOM,80.875,83.56299999999999,82.93799999999999,83.56299999999999,11889800.0
2000-06-02,XOM,78.625,81.9319,79.188,81.063,18607400.0
2000-06-05,XOM,79.0,79.75,79.313,79.0,8654600.0
2000-06-06,XOM,78.75,82.5,82.31299999999999,79.0,12141000.0
