Date,symbol,Low,High,Close,Open,Volume
2011-10-13,XYL,23.0,24.27,24.25,23.5,396800.0
2011-10-14,XYL,24.36,25.49,25.35,24.36,402600.0
2011-10-17,XYL,25.16,25.8,25.16,25.5,583400.0
2011-10-18,XYL,24.9,25.36,25.24,25.06,423500.0
2011-10-19,XYL,24.75,25.35,24.75,25.2485,722200.0
2011-10-20,XYL,24.33,25.03,24.75,24.8,549700.0
2011-10-21,XYL,24.95,25.75,25.54,25.0,1764500.0
2011-10-24,XYL,25.5,25.85,25.77,25.5,371300.0
2011-10-25,XYL,25.0,26.08,25.75,25.88,546800.0
2011-10-26,XYL,24.86,26.09,25.02,26.09,657300.0
2011-10-27,XYL,25.25,25.95,25.62,25.25,405400.0
2011-10-28,XYL,25.25,25.82,25.82,25.5,584700.0
2011-10-31,XYL,25.25,26.74,26.74,26.2501,15106000.0
2011-11-01,XYL,25.15,28.28,27.31,25.6,6095200.0
2011-11-02,XYL,25.79,27.4,26.62,27.4,2476700.0
2011-11-03,XYL,26.38,27.07,26.39,26.94,1615000.0
2011-11-04,XYL,24.88,26.59,25.19,26.17,1923300.0
2011-11-07,XYL,24.37,25.48,24.6,24.91,2703500.0
2011-11-08,XYL,24.76,25.345,24.94,25.1,2024100.0
2011-11-09,XYL,23.84,25.0005,23.89,24.35,1570900.0
2011-11-10,XYL,23.52,24.71,23.65,24.48,1166000.0
2011-11-11,XYL,23.63,24.09,23.79,23.88,1266200.0
2011-11-14,XYL,23.49,24.1,23.93,23.58,1339000.0
2011-11-15,XYL,23.82,24.3644,23.99,23.94,1657700.0
2011-11-16,XYL,23.78,24.6,24.12,23.95,1804600.0
2011-11-17,XYL,23.66,24.19,23.85,24.0,1279200.0
2011-11-18,XYL,23.72,24.14,23.93,23.88,1426200.0
2011-11-21,XYL,23.34,23.8122,23.62,23.7,1282100.0
2011-11-22,XYL,22.67,26.14,23.63,25.02,2126400.0
2011-11-23,XYL,22.88,23.7532,23.68,23.27,1009700.0
2011-11-25,XYL,22.88,23.45,23.0,23.45,991100.0
2011-11-28,XYL,23.14,24.180999999999997,23.49,23.66,1567300.0
2011-11-29,XYL,23.166999999999998,23.6,23.27,23.51,1222400.0
2011-11-30,XYL,23.33,24.195,23.9,24.06,2320800.0
2011-12-01,XYL,23.65,24.36,24.27,23.81,1046700.0
2011-12-02,XYL,24.22,25.4795,24.25,25.48,1208900.0
2011-12-05,XYL,24.41,25.15,25.09,24.5701,930900.0
2011-12-06,XYL,24.51,25.07,24.83,25.02,662800.0
2011-12-07,XYL,23.86,24.83,24.57,24.72,951200.0
2011-12-08,XYL,23.8,24.55,23.88,24.45,938700.0
2011-12-09,XYL,23.96,24.46,24.35,24.07,549800.0
2011-12-12,XYL,23.2411,24.19,23.92,23.95,1213400.0
2011-12-13,XYL,23.71,24.45,23.85,24.02,1652500.0
2011-12-14,XYL,22.93,23.6,23.41,23.6,1736000.0
2011-12-15,XYL,23.44,24.06,23.92,23.55,1074900.0
2011-12-16,XYL,24.01,24.94,24.67,24.14,2925700.0
2011-12-19,XYL,24.145,24.855,24.25,24.67,1107200.0
2011-12-20,XYL,23.9628,24.72,24.31,24.59,1190000.0
2011-12-21,XYL,24.0213,25.03,24.92,24.45,2177400.0
2011-12-22,XYL,24.8,25.65,24.83,25.07,971100.0
2011-12-23,XYL,24.704,25.16,24.91,24.83,575000.0
2011-12-27,XYL,24.465,25.05,25.05,24.84,664400.0
2011-12-28,XYL,25.11,25.7614,25.56,25.11,917700.0
2011-12-29,XYL,25.5,26.46,25.95,25.67,3975200.0
2011-12-30,XYL,25.135,25.99,25.69,25.99,1169700.0
2012-01-03,XYL,25.07,26.43,25.14,26.02,1059100.0
2012-01-04,XYL,24.84,26.07,25.97,25.07,1391900.0
2012-01-05,XYL,24.87,25.81,25.6,25.78,2270700.0
2012-01-06,XYL,25.12,25.62,25.17,25.54,524400.0
2012-01-09,XYL,24.82,25.42,25.27,25.16,558700.0
2012-01-10,XYL,25.25,25.7,25.58,25.46,1048300.0
2012-01-11,XYL,25.39,26.26,26.06,25.46,1066300.0
2012-01-12,XYL,25.68,26.14,25.7,26.08,709300.0
2012-01-13,XYL,25.34,25.68,25.63,25.45,886200.0
2012-01-17,XYL,25.59,26.28,25.63,25.9,465400.0
2012-01-18,XYL,25.43,27.04,26.99,25.51,1453700.0
2012-01-19,XYL,26.44,27.29,26.62,26.999000000000002,838000.0
2012-01-20,XYL,26.3,26.676,26.36,26.62,1014900.0
2012-01-23,XYL,25.56,26.6,25.75,26.45,842800.0
2012-01-24,XYL,25.6,26.2081,26.14,25.69,761400.0
2012-01-25,XYL,25.82,26.63,26.6,26.04,881800.0
2012-01-26,XYL,25.7614,26.85,25.94,26.68,850000.0
2012-01-27,XYL,25.61,25.98,25.81,25.61,685900.0
2012-01-30,XYL,25.5,25.96,25.92,25.65,475300.0
2012-01-31,XYL,25.65,26.25,25.91,26.11,792700.0
2012-02-01,XYL,25.92,26.85,26.82,26.02,816600.0
2012-02-02,XYL,26.62,26.9916,26.65,26.86,715200.0
2012-02-03,XYL,26.57,27.08,27.03,26.96,719800.0
2012-02-06,XYL,26.64,27.12,26.78,26.9,655100.0
2012-02-07,XYL,26.53,27.35,27.22,26.7,963800.0
2012-02-08,XYL,26.8,27.39,27.39,27.16,737900.0
2012-02-09,XYL,26.91,27.4,27.13,27.35,721500.0
2012-02-10,XYL,26.83,27.13,27.07,26.96,527300.0
2012-02-13,XYL,26.826,27.35,27.03,27.35,638900.0
2012-02-14,XYL,26.82,27.21,26.92,26.9,926400.0
2012-02-15,XYL,26.87,27.11,27.0,26.97,1071300.0
2012-02-16,XYL,26.96,27.32,27.15,27.02,639700.0
2012-02-17,XYL,27.17,27.63,27.59,27.26,583500.0
2012-02-21,XYL,27.51,28.12,27.82,27.66,753500.0
2012-02-22,XYL,27.48,28.06,27.53,27.66,467500.0
2012-02-23,XYL,27.3,27.83,27.78,27.52,335900.0
2012-02-24,XYL,27.24,27.94,27.26,27.89,827900.0
2012-02-27,XYL,26.87,27.4,27.36,27.0999,1429000.0
2012-02-28,XYL,26.12,27.24,26.84,27.24,3443900.0
2012-02-29,XYL,25.91,26.95,25.98,26.76,4339600.0
2012-03-01,XYL,25.77,27.32,26.69,26.0,1801400.0
2012-03-02,XYL,26.37,26.95,26.6,26.37,1594900.0
2012-03-05,XYL,26.04,26.7,26.22,26.6,1339800.0
2012-03-06,XYL,25.39,26.0196,25.85,25.95,1334200.0
2012-03-07,XYL,25.74,26.3,26.21,26.09,933200.0
2012-03-08,XYL,25.965,26.7,26.62,26.3001,894800.0
2012-03-09,XYL,26.53,27.36,27.25,26.57,719500.0
2012-03-12,XYL,27.26,27.63,27.53,27.38,879800.0
2012-03-13,XYL,27.64,28.44,28.42,27.64,861600.0
2012-03-14,XYL,28.2,28.4796,28.36,28.41,1183100.0
2012-03-15,XYL,28.06,28.84,28.73,28.39,689200.0
2012-03-16,XYL,28.17,28.87,28.19,28.7413,903100.0
2012-03-19,XYL,27.88,28.5,27.94,28.21,796500.0
2012-03-20,XYL,27.08,27.92,27.31,27.85,993200.0
2012-03-21,XYL,27.25,27.56,27.33,27.3,872000.0
2012-03-22,XYL,26.98,27.37,27.22,27.12,665800.0
2012-03-23,XYL,27.06,27.37,27.2,27.37,519500.0
2012-03-26,XYL,27.37,27.86,27.85,27.37,642100.0
2012-03-27,XYL,27.61,28.02,27.99,27.92,601000.0
2012-03-28,XYL,27.54,28.11,27.96,27.96,918000.0
2012-03-29,XYL,27.2493,27.81,27.66,27.81,855500.0
2012-03-30,XYL,27.4,27.86,27.75,27.83,1310900.0
2012-04-02,XYL,27.7,28.3507,28.32,27.71,817100.0
2012-04-03,XYL,27.93,28.545,28.25,28.33,1034300.0
2012-04-04,XYL,27.58,27.94,27.8,27.91,1070400.0
2012-04-05,XYL,27.75,28.23,27.97,27.75,477500.0
2012-04-09,XYL,27.2,27.55,27.36,27.47,495500.0
2012-04-10,XYL,26.58,27.34,26.94,27.24,909900.0
2012-04-11,XYL,26.83,27.3,27.0,27.19,810200.0
2012-04-12,XYL,26.87,27.39,27.32,26.91,646500.0
2012-04-13,XYL,26.79,27.21,26.83,27.1,492700.0
2012-04-16,XYL,26.5,27.3,26.9,27.11,850400.0
2012-04-17,XYL,26.85,27.31,27.2,27.29,540600.0
2012-04-18,XYL,27.04,27.73,27.65,27.12,1118700.0
2012-04-19,XYL,26.9,27.97,27.1,27.61,1061300.0
2012-04-20,XYL,27.07,27.64,27.36,27.18,807500.0
2012-04-23,XYL,26.52,27.06,26.89,27.0581,556500.0
2012-04-24,XYL,26.904,27.5,27.1,26.95,518100.0
2012-04-25,XYL,27.34,27.81,27.7,27.34,569600.0
2012-04-26,XYL,27.6306,28.1,28.1,27.64,459100.0
2012-04-27,XYL,28.14,28.52,28.38,28.14,642700.0
2012-04-30,XYL,27.81,28.32,27.88,28.32,364000.0
2012-05-01,XYL,27.58,28.32,27.66,27.91,638900.0
2012-05-02,XYL,27.4,27.95,27.76,27.45,835000.0
2012-05-03,XYL,27.05,27.72,27.3,27.6904,990000.0
2012-05-04,XYL,26.45,27.3,26.45,27.3,870000.0
2012-05-07,XYL,26.13,26.64,26.21,26.39,995000.0
2012-05-08,XYL,25.65,26.44,26.36,26.1,925900.0
2012-05-09,XYL,25.61,26.39,26.13,25.91,923400.0
2012-05-10,XYL,26.05,26.56,26.14,26.3,701500.0
2012-05-11,XYL,25.92,26.47,26.03,26.0,625800.0
2012-05-14,XYL,25.43,26.05,25.43,25.83,567200.0
2012-05-15,XYL,25.17,25.5706,25.21,25.38,565500.0
2012-05-16,XYL,25.295,25.76,25.37,25.43,1045000.0
2012-05-17,XYL,24.42,25.3616,24.42,25.34,1455900.0
2012-05-18,XYL,24.42,24.87,24.67,24.42,994800.0
2012-05-21,XYL,24.69,25.51,25.34,24.78,1096700.0
2012-05-22,XYL,25.37,25.85,25.59,25.47,957900.0
2012-05-23,XYL,24.83,25.79,25.79,25.36,1252500.0
2012-05-24,XYL,25.765,26.14,26.14,25.94,528800.0
2012-05-25,XYL,25.61,26.31,25.65,26.19,677800.0
2012-05-29,XYL,25.74,26.34,25.89,25.79,801000.0
2012-05-30,XYL,25.27,25.84,25.45,25.46,591900.0
2012-05-31,XYL,24.97,25.55,25.33,25.54,1021600.0
2012-06-01,XYL,24.45,25.03,24.48,24.71,1379300.0
2012-06-04,XYL,24.03,24.55,24.51,24.48,643400.0
2012-06-05,XYL,23.94,24.66,24.58,24.38,499600.0
2012-06-06,XYL,24.89,25.49,25.49,24.89,553800.0
2012-06-07,XYL,25.59,26.63,25.74,26.63,802100.0
2012-06-08,XYL,25.32,26.0909,25.92,25.71,862300.0
2012-06-11,XYL,25.45,26.33,25.51,26.29,816100.0
2012-06-12,XYL,25.35,25.67,25.58,25.5006,1222700.0
2012-06-13,XYL,25.07,25.5,25.17,25.34,891300.0
2012-06-14,XYL,24.92,25.25,25.0,25.21,1478400.0
2012-06-15,XYL,24.92,25.43,25.32,25.14,3023700.0
2012-06-18,XYL,24.945,25.28,25.13,25.21,860500.0
2012-06-19,XYL,25.05,25.6,25.08,25.25,1441400.0
2012-06-20,XYL,24.4887,25.05,24.72,25.03,1123100.0
2012-06-21,XYL,24.27,25.45,24.28,25.17,1418600.0
2012-06-22,XYL,23.89,24.39,24.02,24.39,1268800.0
2012-06-25,XYL,23.21,23.79,23.61,23.7,1097600.0
2012-06-26,XYL,23.48,24.07,23.92,23.62,1163900.0
2012-06-27,XYL,23.85,24.35,24.29,24.02,1045100.0
2012-06-28,XYL,23.02,24.61,24.59,23.6,1942900.0
2012-06-29,XYL,25.03,25.51,25.17,25.28,1590300.0
2012-07-02,XYL,24.9,25.46,25.04,25.27,708700.0
2012-07-03,XYL,24.94,25.68,25.68,24.9929,324900.0
2012-07-05,XYL,25.33,25.7,25.53,25.55,620100.0
