Date,symbol,Low,High,Close,Open,Volume
1999-09-28,YUM,41.375,43.563,41.75,43.438,4272500.0
1999-09-29,YUM,41.625,42.688,41.688,41.875,3018400.0
1999-09-30,YUM,40.688,41.75,40.938,41.688,3424600.0
1999-10-01,YUM,41.0,42.375,41.688,40.9994,4009900.0
1999-10-04,YUM,41.813,42.938,42.688,41.938,2114800.0
1999-10-05,YUM,41.75,42.875,42.375,42.688,4188500.0
1999-10-06,YUM,41.375,42.375,42.0,42.375,2253400.0
1999-10-07,YUM,40.906,41.8112,41.375,41.75,1377600.0
1999-10-08,YUM,40.688,42.0,42.0,41.125,3165900.0
1999-10-11,YUM,41.375,42.125,42.063,41.938,1033200.0
1999-10-12,YUM,41.6921,42.625,41.813,42.0,1638000.0
1999-10-13,YUM,38.563,42.5,38.938,42.0,10638300.0
1999-10-14,YUM,38.75,40.125,39.313,38.938,5582300.0
1999-10-15,YUM,38.625,39.125,39.0,38.875,4802200.0
1999-10-18,YUM,38.563,39.438,39.063,38.813,3735100.0
1999-10-19,YUM,38.938,39.313,39.25,39.063,2964400.0
1999-10-20,YUM,38.969,39.5,39.438,39.188,1412600.0
1999-10-21,YUM,39.125,40.375,40.063,39.188,1537300.0
1999-10-22,YUM,39.313,40.75,39.313,40.0,2225600.0
1999-10-25,YUM,38.813,39.188,39.0,39.0,3578200.0
1999-10-26,YUM,38.563,39.0,38.563,38.875,9102700.0
1999-10-27,YUM,38.563,39.875,39.375,38.563,3056800.0
1999-10-28,YUM,39.375,40.438,40.0,39.375,4002100.0
1999-10-29,YUM,39.625,40.75,40.188,39.625,3458000.0
1999-11-01,YUM,40.188,41.25,40.563,40.188,2393000.0
1999-11-02,YUM,39.875,40.75,39.938,40.563,2942700.0
1999-11-03,YUM,39.0,40.0,39.25,40.0,2334000.0
1999-11-04,YUM,38.938,40.0,39.25,39.063,8857300.0
1999-11-05,YUM,39.438,40.5,40.438,39.438,2512700.0
1999-11-08,YUM,39.875,40.75,40.563,39.938,2894900.0
1999-11-09,YUM,39.75,41.625,41.625,40.625,3384500.0
1999-11-10,YUM,42.063,44.063,43.563,42.438,5797600.0
1999-11-11,YUM,43.5,45.0,44.188,43.5,5671300.0
1999-11-12,YUM,42.188,44.25,43.125,44.188,4002700.0
1999-11-15,YUM,44.063,46.25,45.125,44.1272,8713700.0
1999-11-16,YUM,42.563,44.375,42.75,44.375,10006800.0
1999-11-17,YUM,41.25,42.875,42.313,42.125,3337200.0
1999-11-18,YUM,42.063,43.25,43.125,42.375,2567700.0
1999-11-19,YUM,42.438,43.0,42.5,43.0,3705600.0
1999-11-22,YUM,41.75,42.5,41.813,42.437,3202000.0
1999-11-23,YUM,41.0,41.688,41.125,41.625,4031100.0
1999-11-24,YUM,39.75,40.938,40.125,40.938,2425300.0
1999-11-26,YUM,40.063,40.375,40.188,40.25,540800.0
1999-11-29,YUM,40.063,40.688,40.5,40.063,3538100.0
1999-11-30,YUM,40.063,41.75,41.5,40.063,3404600.0
1999-12-01,YUM,40.563,41.375,40.688,41.313,2067500.0
1999-12-02,YUM,40.125,40.8817,40.25,40.75,1536200.0
1999-12-03,YUM,40.0,41.375,40.0,40.375,2520400.0
1999-12-06,YUM,39.625,40.375,40.063,40.0,2333500.0
1999-12-07,YUM,40.0,40.6254,40.25,40.063,2554900.0
1999-12-08,YUM,40.125,40.75,40.5,40.125,2083700.0
1999-12-09,YUM,40.188,40.938,40.625,40.25,2759100.0
1999-12-10,YUM,39.688,40.7501,40.125,40.125,3066300.0
1999-12-13,YUM,38.813,39.25,39.063,39.25,16201200.0
1999-12-14,YUM,38.75,39.875,39.813,38.875,8155100.0
1999-12-15,YUM,39.313,39.875,39.5,39.625,2755200.0
1999-12-16,YUM,38.875,39.563,38.875,39.5,7933700.0
1999-12-17,YUM,38.375,39.5647,39.438,38.875,12805500.0
1999-12-20,YUM,38.625,39.313,38.875,39.25,1944600.0
1999-12-21,YUM,37.5605,38.75,37.688,38.688,2771400.0
1999-12-22,YUM,37.625,38.938,38.625,37.688,2578300.0
1999-12-23,YUM,37.875,38.688,37.938,38.625,1729800.0
1999-12-27,YUM,37.625,38.625,38.625,37.938,2412500.0
1999-12-28,YUM,38.0,39.563,38.25,38.563,1253000.0
1999-12-29,YUM,37.75,38.2506,38.125,38.25,2414200.0
1999-12-30,YUM,37.75,38.625,38.438,37.875,2282300.0
