Date,symbol,Low,High,Close,Open,Volume
2001-07-25,ZBH,29.5,30.95,29.76,29.5,2439400.0
2001-07-26,ZBH,28.0,28.9,28.1,28.9,2675400.0
2001-07-27,ZBH,28.2,29.0108,28.4,28.2,1398200.0
2001-07-30,ZBH,28.4,28.55,28.46,28.4,766900.0
2001-07-31,ZBH,28.43,28.65,28.6,28.46,974600.0
2001-08-01,ZBH,29.0,29.85,29.5,29.0,1863700.0
2001-08-02,ZBH,28.65,29.7,28.65,29.48,785000.0
2001-08-03,ZBH,27.9,28.45,28.0,28.4,1204500.0
2001-08-06,ZBH,27.3,28.2,27.76,28.0,1565500.0
2001-08-07,ZBH,28.2,30.5,29.94,28.5,7815800.0
2001-08-08,ZBH,28.05,29.75,28.69,29.7,5274703.0
2001-08-09,ZBH,27.55,28.45,28.36,28.1017,2997300.0
2001-08-10,ZBH,27.43,28.35,28.0,28.0,3193526.0
2001-08-13,ZBH,26.85,27.85,27.3,27.7489,4809800.0
2001-08-14,ZBH,27.2,28.0999,27.7,27.3,3667700.0
2001-08-15,ZBH,27.7,28.4,28.08,27.75,2622100.0
2001-08-16,ZBH,27.3,28.1,28.1,28.03,2132100.0
2001-08-17,ZBH,26.53,28.0,28.0,27.7,1747200.0
2001-08-20,ZBH,26.8,27.72,27.2,27.65,2066600.0
2001-08-21,ZBH,27.1,27.44,27.34,27.2,1870500.0
2001-08-22,ZBH,26.4,27.26,27.26,27.1,2549804.0
2001-08-23,ZBH,26.73,27.19,26.75,27.15,2343000.0
2001-08-24,ZBH,26.05,26.72,26.69,26.2507,1909700.0
2001-08-27,ZBH,26.3,26.8,26.66,26.6,1461800.0
2001-08-28,ZBH,25.86,26.3,26.02,26.1,2378300.0
2001-08-29,ZBH,25.95,26.75,26.4,26.02,2020500.0
2001-08-30,ZBH,26.4,27.3,26.95,26.4,2443000.0
2001-08-31,ZBH,26.5,27.2,27.2,26.8,1448391.0
2001-09-04,ZBH,27.09,28.0,27.78,27.1,1697076.0
2001-09-05,ZBH,27.15,27.83,27.65,27.65,1655000.0
2001-09-06,ZBH,27.0,27.6,27.24,27.55,2030900.0
2001-09-07,ZBH,26.4,27.87,26.66,26.5,1748200.0
2001-09-10,ZBH,26.3,26.83,26.44,26.5,1020100.0
2001-09-17,ZBH,24.78,26.04,25.25,25.1,1665700.0
2001-09-18,ZBH,24.7,25.3604,25.1,25.25,1687700.0
2001-09-19,ZBH,24.8,26.12,25.02,24.8,1494700.0
2001-09-20,ZBH,24.86,26.4901,25.75,25.0,1993600.0
2001-09-21,ZBH,24.95,26.85,25.85,25.0,1945900.0
2001-09-24,ZBH,25.8,27.05,26.7,25.8,1803600.0
2001-09-25,ZBH,26.0,26.99,26.3,26.7,1586600.0
2001-09-26,ZBH,26.25,26.99,26.8,26.25,1020600.0
2001-09-27,ZBH,26.6,27.6,27.0,26.6,1637300.0
