Date,symbol,Low,High,Close,Open,Volume
1999-09-28,ZION,52.75,53.625,53.218999999999994,53.625,572600.0
1999-09-29,ZION,53.188,54.25,54.0,53.25,429200.0
1999-09-30,ZION,53.625,55.313,55.125,54.25,498100.0
1999-10-01,ZION,52.5,54.875,53.5,54.813,611200.0
1999-10-04,ZION,53.25,55.688,55.625,53.5,584500.0
1999-10-05,ZION,55.25,57.188,56.313,55.25,599500.0
1999-10-06,ZION,56.313,57.375,57.313,56.313,380400.0
1999-10-07,ZION,56.75,57.375,57.0,57.25,366400.0
1999-10-08,ZION,57.0,57.5,57.188,57.188,431500.0
1999-10-11,ZION,57.063,57.938,57.938,57.063,360800.0
1999-10-12,ZION,57.188,58.0,57.375,57.875,237500.0
1999-10-13,ZION,56.125,57.6264,56.5,56.875,378600.0
1999-10-14,ZION,55.688,56.563,56.563,56.313,447900.0
1999-10-15,ZION,52.875,54.313,53.188,54.25,683600.0
1999-10-18,ZION,53.188,56.063,55.813,53.343999999999994,262400.0
1999-10-19,ZION,55.313,56.125,55.313,56.0,285600.0
1999-10-20,ZION,55.063,56.5,56.406000000000006,55.625,661700.0
1999-10-21,ZION,54.75,56.0,54.938,55.8122,322300.0
1999-10-22,ZION,54.938,57.75,57.375,55.063,594100.0
1999-10-25,ZION,56.625,57.5,57.125,57.313,449800.0
1999-10-26,ZION,55.688,57.1275,56.0,57.063,758500.0
1999-10-27,ZION,55.313,56.125,55.938,55.8755,595200.0
1999-10-28,ZION,55.938,59.125,58.313,56.25,1689100.0
1999-10-29,ZION,58.625,60.375,58.938,58.625,860800.0
1999-11-01,ZION,58.75,59.5,59.063,59.0,617400.0
1999-11-02,ZION,59.0,61.188,60.813,59.0,830500.0
1999-11-03,ZION,60.063,61.75,60.063,60.75,778600.0
1999-11-04,ZION,60.125,62.125,60.625,60.25,578500.0
1999-11-05,ZION,61.1195,62.563,62.188,61.125,461700.0
1999-11-08,ZION,61.75,63.0,62.938,61.75,273700.0
1999-11-09,ZION,61.688,63.0,62.0,62.8147,544900.0
1999-11-10,ZION,61.5,62.125,62.0,61.875,397800.0
1999-11-11,ZION,60.938,62.063,61.875,61.9369,171600.0
1999-11-12,ZION,61.813,63.125,62.938,62.0,719800.0
1999-11-15,ZION,62.25,63.0,62.938,62.625,339000.0
1999-11-16,ZION,62.625,63.313,63.125,63.0,199500.0
1999-11-17,ZION,62.938,63.688,63.625,63.063,966700.0
1999-11-18,ZION,63.313,65.188,64.5,63.313,620600.0
1999-11-19,ZION,64.0,64.75,64.625,64.5,459600.0
1999-11-22,ZION,63.688,64.75,63.813,64.625,405300.0
1999-11-23,ZION,62.0,63.75,62.5,63.6226,562600.0
1999-11-24,ZION,62.125,62.938,62.875,62.438,713800.0
1999-11-26,ZION,62.75,63.063,62.938,62.75,106100.0
1999-11-29,ZION,61.625,62.781000000000006,61.75,62.781000000000006,274200.0
1999-11-30,ZION,61.75,65.0,64.563,61.75,672200.0
1999-12-01,ZION,64.5,65.563,65.313,64.5,559800.0
1999-12-02,ZION,65.0,66.125,65.875,65.0,249300.0
1999-12-03,ZION,65.75,68.063,67.563,65.938,584200.0
1999-12-06,ZION,65.3744,67.375,65.875,67.188,808500.0
1999-12-07,ZION,63.563,65.969,63.625,65.969,821700.0
1999-12-08,ZION,61.75,63.938,61.875,63.938,568900.0
1999-12-09,ZION,62.188,63.563,63.313,62.2507,513100.0
1999-12-10,ZION,63.438,64.688,63.938,63.438,641400.0
1999-12-13,ZION,63.625,64.125,63.688,63.766000000000005,490700.0
1999-12-14,ZION,62.688,63.438,62.938,63.375,518700.0
1999-12-15,ZION,61.375,62.875,62.375,62.875,609700.0
1999-12-16,ZION,61.5,62.75,61.875,62.313,533700.0
1999-12-17,ZION,61.438,62.375,61.438,62.375,663300.0
1999-12-20,ZION,61.25,62.375,61.5,61.938,492100.0
1999-12-21,ZION,60.8137,64.813,64.625,61.375,611600.0
1999-12-22,ZION,66.875,71.0,67.563,69.875,892800.0
1999-12-23,ZION,66.313,68.0,66.75,67.563,456800.0
1999-12-27,ZION,58.5,63.25,60.313,59.5,1849300.0
1999-12-28,ZION,58.938,60.375,59.313,59.688,899500.0
1999-12-29,ZION,58.75,59.875,59.406000000000006,59.75,481400.0
1999-12-30,ZION,58.25,59.688,58.625,59.656000000000006,793200.0
1999-12-31,ZION,58.375,59.75,59.188,58.75,158100.0
2000-01-03,ZION,53.438,59.125,55.5,59.031000000000006,1199600.0
2000-01-04,ZION,52.5,55.0,52.813,54.625,816100.0
2000-01-05,ZION,51.063,53.25,52.75,52.75,1124700.0
2000-01-06,ZION,52.375,54.9444,53.5,52.75,1112100.0
2000-01-07,ZION,53.313,54.25,53.625,53.75,782000.0
2000-01-10,ZION,51.5,53.75,52.656000000000006,53.688,408800.0
2000-01-11,ZION,49.875,53.0,49.875,52.688,987800.0
2000-01-12,ZION,49.0,50.75,50.313,50.5,794300.0
2000-01-13,ZION,51.0,55.5,54.688,51.063,458700.0
2000-01-14,ZION,54.938,56.75,55.625,56.0,596500.0
2000-01-18,ZION,52.75,56.125,52.813,55.625,476800.0
2000-01-19,ZION,52.625,54.625,53.375,52.75,310400.0
2000-01-20,ZION,51.9358,54.125,52.438,54.125,368200.0
2000-01-21,ZION,50.281000000000006,53.313,52.875,53.188,448900.0
2000-01-24,ZION,51.375,54.25,52.0,53.5,573000.0
2000-01-25,ZION,51.375,53.875,53.688,51.813,497200.0
2000-01-26,ZION,52.563,54.218999999999994,53.563,54.0,541500.0
2000-01-27,ZION,53.6247,58.625,57.75,53.75,967300.0
2000-01-28,ZION,54.875,57.25,56.125,57.25,801400.0
2000-01-31,ZION,56.125,59.313,59.125,56.188,440500.0
2000-02-01,ZION,58.563,60.0,59.75,58.8727,730800.0
2000-02-02,ZION,58.563,59.563,58.625,59.5,655400.0
2000-02-03,ZION,57.125,59.5,57.938,58.563,297300.0
2000-02-04,ZION,55.0,58.125,55.313,57.875,240400.0
2000-02-07,ZION,53.875,55.75,55.25,55.375,384300.0
2000-02-08,ZION,55.0,58.438,58.063,55.063,366000.0
2000-02-09,ZION,54.0,58.688,55.125,58.563,935800.0
2000-02-10,ZION,54.75,56.5,54.938,55.438,362500.0
2000-02-11,ZION,54.5,56.0,54.688,55.438,448800.0
2000-02-14,ZION,54.063,55.233999999999995,54.125,54.688,199400.0
2000-02-15,ZION,53.563,55.5,54.813,54.375,412600.0
2000-02-16,ZION,54.2475,54.813,54.563,54.75,233900.0
2000-02-17,ZION,54.063,55.75,55.031000000000006,54.75,439500.0
2000-02-18,ZION,49.625,55.125,49.875,55.0,1174700.0
2000-02-22,ZION,48.875,51.188,51.125,50.063,706100.0
2000-02-23,ZION,49.313,51.25,50.625,51.063,433000.0
2000-02-24,ZION,50.438,51.563,50.875,50.781000000000006,821900.0
2000-02-25,ZION,49.875,50.875,50.0,50.875,338300.0
2000-02-28,ZION,49.6888,52.656000000000006,51.5,49.968999999999994,1029200.0
2000-02-29,ZION,51.0,53.25,53.063,51.7492,415700.0
2000-03-01,ZION,50.5,53.188,50.688,53.0,786900.0
2000-03-02,ZION,50.688,52.25,51.438,50.688,423300.0
2000-03-03,ZION,32.0,51.406000000000006,38.813,51.25,14244100.0
2000-03-06,ZION,37.125,42.375,41.563,39.25,3842200.0
2000-03-07,ZION,39.125,41.875,39.813,41.875,1162600.0
2000-03-08,ZION,36.5,40.563,37.438,40.563,1449300.0
2000-03-09,ZION,36.375,37.625,36.875,37.188,862200.0
2000-03-10,ZION,36.063,39.75,37.25,36.938,822100.0
2000-03-13,ZION,37.625,38.938,37.969,37.875,1970600.0
2000-03-14,ZION,36.0,38.625,36.438,38.344,536200.0
2000-03-15,ZION,36.688,39.5,38.75,36.75,832300.0
2000-03-16,ZION,39.563,41.875,41.375,39.625,1168300.0
2000-03-17,ZION,40.375,42.9356,40.938,40.5,1010300.0
2000-03-20,ZION,39.313,41.253,39.313,41.0,542200.0
2000-03-21,ZION,38.625,42.625,42.25,39.25,511800.0
2000-03-22,ZION,42.0,44.343999999999994,42.063,42.0,529200.0
2000-03-23,ZION,41.5,44.0,44.0,41.75,673600.0
2000-03-24,ZION,42.0,44.0,42.563,43.75,579300.0
