Date,symbol,Low,High,Close,Open,Volume
2013-02-01,ZTS,30.47,31.74,31.01,31.5,66789100.0
2013-02-04,ZTS,30.76,31.99,31.02,31.09,7695400.0
2013-02-05,ZTS,30.85,31.9825,31.04,31.25,5013200.0
2013-02-06,ZTS,30.75,31.43,31.03,30.98,2126100.0
2013-02-07,ZTS,31.0,32.73,32.0,31.0,3800800.0
2013-02-08,ZTS,32.3,33.48,33.05,32.3078,2599300.0
2013-02-11,ZTS,32.88,33.5,33.26,33.06,1487200.0
2013-02-12,ZTS,33.15,34.0,33.74,33.4,1637300.0
2013-02-13,ZTS,33.0,33.8,33.55,33.8,1269700.0
2013-02-14,ZTS,32.77,33.45,33.27,33.39,2954500.0
2013-02-15,ZTS,33.0,34.0925,33.98,33.31,5415400.0
2013-02-19,ZTS,33.57,34.07,33.84,34.02,1206900.0
2013-02-20,ZTS,32.6,33.88,32.72,33.84,1842900.0
2013-02-21,ZTS,31.86,32.8,32.56,32.5,3242300.0
2013-02-22,ZTS,32.5,32.93,32.59,32.78,954500.0
2013-02-25,ZTS,32.0,32.69,32.07,32.6831,818900.0
2013-02-26,ZTS,31.99,32.4,32.04,32.05,1048700.0
2013-02-27,ZTS,31.9982,33.05,32.32,32.0,1343600.0
2013-02-28,ZTS,32.56,33.55,33.45,32.56,2991400.0
2013-03-01,ZTS,33.15,34.7,34.6,33.36,2334000.0
2013-03-04,ZTS,34.235,34.89,34.35,34.8,865400.0
2013-03-05,ZTS,33.75,34.48,34.29,34.4118,1413400.0
2013-03-06,ZTS,33.85,34.38,33.85,34.34,802000.0
2013-03-07,ZTS,33.56,34.68,34.56,33.95,1320000.0
2013-03-08,ZTS,33.7996,34.69,34.09,34.03,1541100.0
2013-03-11,ZTS,33.25,34.26,34.18,33.97,1729400.0
2013-03-12,ZTS,33.6,34.245,33.82,34.12,1557600.0
2013-03-13,ZTS,33.08,34.06,34.0,33.9,2240800.0
2013-03-14,ZTS,34.298,35.42,34.64,34.33,1865200.0
2013-03-15,ZTS,33.31,34.84,33.44,34.7,2692100.0
2013-03-18,ZTS,32.64,32.94,32.84,32.75,2372000.0
2013-03-19,ZTS,32.328,33.42,32.8,32.8,1336200.0
2013-03-20,ZTS,32.5,33.54,33.51,32.9,1944000.0
2013-03-21,ZTS,33.29,34.0,33.47,33.900999999999996,514500.0
2013-03-22,ZTS,32.735,33.75,33.12,33.55,763300.0
2013-03-25,ZTS,32.25,33.48,32.46,33.48,1324600.0
2013-03-26,ZTS,32.0,32.7895,32.51,32.73,1396500.0
2013-03-27,ZTS,32.06,32.89,32.74,32.38,1896800.0
2013-03-28,ZTS,32.63,33.5,33.4,32.85,7434900.0
2013-04-01,ZTS,32.428000000000004,33.59,32.59,33.42,1466300.0
2013-04-02,ZTS,32.46,33.13,32.55,32.66,712200.0
2013-04-03,ZTS,32.36,32.98,32.53,32.67,1409700.0
2013-04-04,ZTS,31.71,32.5,31.84,32.41,1946400.0
2013-04-05,ZTS,30.57,32.07,31.96,31.73,3963500.0
2013-04-08,ZTS,31.77,32.98,32.92,31.95,1965200.0
2013-04-09,ZTS,32.56,33.59,33.44,33.05,2004400.0
2013-04-10,ZTS,32.98,33.76,33.15,33.76,969500.0
2013-04-11,ZTS,32.87,33.24,33.16,33.22,1826600.0
2013-04-12,ZTS,32.6,33.3506,33.23,32.97,723500.0
2013-04-15,ZTS,32.17,33.23,32.24,33.07,839500.0
2013-04-16,ZTS,32.29,33.37,33.21,32.36,2271200.0
2013-04-17,ZTS,32.17,33.23,32.89,32.98,3140500.0
2013-04-18,ZTS,32.38,33.1,32.47,33.1,799900.0
2013-04-19,ZTS,31.81,32.79,32.71,32.71,2159300.0
2013-04-22,ZTS,32.22,32.9,32.66,32.9,922100.0
2013-04-23,ZTS,31.5,32.96,31.7,32.78,2731700.0
2013-04-24,ZTS,30.42,31.69,30.62,31.63,4149300.0
2013-04-25,ZTS,30.75,31.99,31.55,30.93,1520600.0
2013-04-26,ZTS,31.6118,32.68,32.64,31.61,1421800.0
2013-04-29,ZTS,32.17,32.95,32.66,32.95,1711600.0
2013-04-30,ZTS,32.93,34.74,33.02,33.68,3390300.0
2013-05-01,ZTS,32.66,33.51,33.39,32.97,1393100.0
2013-05-02,ZTS,33.11,33.87,33.28,33.38,696300.0
2013-05-03,ZTS,33.0,33.64,33.21,33.62,998400.0
2013-05-06,ZTS,32.75,33.49,32.94,33.35,503700.0
2013-05-07,ZTS,32.295,33.08,32.88,33.08,700700.0
2013-05-08,ZTS,32.7199,33.44,33.26,33.0,1034100.0
2013-05-09,ZTS,33.28,33.67,33.55,33.31,977200.0
2013-05-10,ZTS,32.97,33.61,33.18,33.54,534100.0
2013-05-13,ZTS,32.75,33.49,33.04,33.06,438700.0
2013-05-14,ZTS,32.85,33.75,33.08,33.13,872300.0
2013-05-15,ZTS,32.56,33.06,32.79,32.94,563200.0
